epoch,sample_set,precision,recall,f1
1.0,validation,0.39855072463768115,0.3416149068322981,0.3678929765886288
1.0,test,0.5127304653204565,0.4387678437265214,0.4728744939271255
2.0,validation,0.375,0.2981366459627329,0.33217993079584773
2.0,test,0.4893822393822394,0.38091660405709993,0.42839036755386567
3.0,validation,0.34545454545454546,0.3146997929606625,0.3293607800650054
3.0,test,0.4243663123466885,0.3899323816679189,0.40642129992169146
4.0,validation,0.3422131147540984,0.34575569358178054,0.3439752832131823
4.0,test,0.4397590361445783,0.4387678437265214,0.43926288078224895
5.0,validation,0.3010989010989011,0.2836438923395445,0.2921108742004264
5.0,test,0.422275641025641,0.3959429000751315,0.40868553702985655
6.0,validation,0.3135593220338983,0.3064182194616977,0.3099476439790576
6.0,test,0.386046511627907,0.37415477084898574,0.3800076306753148
7.0,validation,0.32905982905982906,0.3188405797101449,0.3238696109358569
7.0,test,0.397196261682243,0.38317054845980464,0.3900573613766731
8.0,validation,0.2898550724637681,0.2898550724637681,0.2898550724637681
8.0,test,0.3705118411000764,0.3643876784372652,0.36742424242424243
9.0,validation,0.2896825396825397,0.3022774327122153,0.2958459979736575
9.0,test,0.36926438455935906,0.38091660405709993,0.37499999999999994
10.0,validation,0.3090128755364807,0.2981366459627329,0.303477344573235
10.0,test,0.3808025177025964,0.36363636363636365,0.37202152190622606
11.0,validation,0.3008130081300813,0.3064182194616977,0.3035897435897436
11.0,test,0.3671933784800602,0.3666416228399699,0.3669172932330827
12.0,validation,0.2729124236252546,0.2774327122153209,0.27515400410677615
12.0,test,0.35741158765989467,0.35687453042824946,0.3571428571428572
13.0,validation,0.2848360655737705,0.28778467908902694,0.286302780638517
13.0,test,0.37142857142857144,0.3711495116453794,0.37128898910184144
14.0,validation,0.28823529411764703,0.30434782608695654,0.29607250755287007
14.0,test,0.3633720930232558,0.3756574004507889,0.3694126339120798
15.0,validation,0.26692456479690524,0.2857142857142857,0.276
15.0,test,0.34826589595375723,0.3621337340345605,0.3550644567219153
16.0,validation,0.2744721689059501,0.29606625258799174,0.28486055776892427
16.0,test,0.34729241877256317,0.3613824192336589,0.3541973490427099
17.0,validation,0.2720156555772994,0.28778467908902694,0.27967806841046283
17.0,test,0.35333333333333333,0.3583771600300526,0.3558373741141365
18.0,validation,0.27058823529411763,0.2857142857142857,0.2779456193353474
18.0,test,0.35462555066079293,0.3628850488354621,0.3587077608614928
19.0,validation,0.27897838899803534,0.2939958592132505,0.28629032258064513
19.0,test,0.35615440640932267,0.3673929376408715,0.3616863905325443
20.0,validation,0.27897838899803534,0.2939958592132505,0.28629032258064513
20.0,test,0.35495626822157433,0.36589030803906836,0.36034036256011837
