epoch,sample_set,precision,recall,f1
1.0,validation,0.8941176470588236,0.7867494824016563,0.8370044052863437
1.0,test,0.9046025104602511,0.8121712997746056,0.8558986539984166
2.0,validation,0.8786008230452675,0.8840579710144928,0.8813209494324046
2.0,test,0.9192688499619193,0.9068369646882044,0.9130105900151285
3.0,validation,0.9033613445378151,0.8902691511387164,0.8967674661105317
3.0,test,0.9414519906323185,0.9060856498873028,0.9234303215926494
4.0,validation,0.9036885245901639,0.9130434782608695,0.9083419155509783
4.0,test,0.9294385432473444,0.9203606311044328,0.9248773121932804
5.0,validation,0.9136842105263158,0.8985507246376812,0.9060542797494779
5.0,test,0.9461538461538461,0.9241172051089407,0.9350057012542761
6.0,validation,0.9227557411273486,0.9151138716356108,0.9189189189189187
6.0,test,0.9425287356321839,0.9241172051089407,0.9332321699544764
7.0,validation,0.9345991561181435,0.917184265010352,0.9258098223615466
7.0,test,0.9438461538461539,0.9218632607062359,0.9327251995438997
8.0,validation,0.9245283018867925,0.9130434782608695,0.91875
8.0,test,0.9415384615384615,0.9196093163035312,0.9304446978335233
9.0,validation,0.9260780287474333,0.9337474120082816,0.9298969072164949
9.0,test,0.93717277486911,0.941397445529677,0.93928035982009
10.0,validation,0.9444444444444444,0.9151138716356108,0.9295478443743427
10.0,test,0.9563522992985191,0.9218632607062359,0.9387911247130835
11.0,validation,0.9308176100628931,0.9192546583850931,0.925
11.0,test,0.9483675018982536,0.9383921863260706,0.9433534743202416
12.0,validation,0.9276859504132231,0.9296066252587992,0.9286452947259567
12.0,test,0.9438543247344461,0.9346356123215628,0.9392223480558701
13.0,validation,0.9195876288659793,0.9233954451345756,0.9214876033057853
13.0,test,0.9390060240963856,0.9368895567242674,0.9379465964648365
14.0,validation,0.917004048582996,0.937888198757764,0.9273285568065508
14.0,test,0.9305451829723674,0.9361382419233659,0.9333333333333333
15.0,validation,0.9257731958762887,0.9296066252587992,0.9276859504132231
15.0,test,0.9476479514415781,0.9383921863260706,0.9429973574933935
16.0,validation,0.9116465863453815,0.9399585921325052,0.9255861365953109
16.0,test,0.937874251497006,0.941397445529677,0.9396325459317585
17.0,validation,0.9352818371607515,0.927536231884058,0.9313929313929313
17.0,test,0.9511450381679389,0.9361382419233659,0.943581976524044
18.0,validation,0.9257731958762887,0.9296066252587992,0.9276859504132231
18.0,test,0.9434815373021854,0.9406461307287753,0.9420617005267119
19.0,validation,0.9237113402061856,0.927536231884058,0.9256198347107439
19.0,test,0.9427710843373494,0.9406461307287753,0.9417074088003009
20.0,validation,0.9235537190082644,0.9254658385093167,0.9245087900723888
20.0,test,0.9434815373021854,0.9406461307287753,0.9420617005267119
