epoch,sample_set,precision,recall,f1
1.0,validation,0.7259887005649718,0.7259887005649718,0.7259887005649718
1.0,test,0.7928571428571428,0.7928571428571428,0.7928571428571428
2.0,validation,0.7711864406779662,0.7711864406779662,0.7711864406779662
2.0,test,0.8348214285714286,0.8348214285714286,0.8348214285714286
3.0,validation,0.7994350282485876,0.7994350282485876,0.7994350282485876
3.0,test,0.8767857142857143,0.8767857142857143,0.8767857142857144
4.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
4.0,test,0.8607142857142858,0.8607142857142858,0.8607142857142858
5.0,validation,0.8050847457627118,0.8050847457627118,0.8050847457627118
5.0,test,0.8455357142857143,0.8455357142857143,0.8455357142857143
6.0,validation,0.7966101694915254,0.7966101694915254,0.7966101694915254
6.0,test,0.8651785714285715,0.8651785714285715,0.8651785714285715
7.0,validation,0.8220338983050848,0.8220338983050848,0.8220338983050847
7.0,test,0.8741071428571429,0.8741071428571429,0.8741071428571429
8.0,validation,0.8192090395480226,0.8192090395480226,0.8192090395480226
8.0,test,0.8660714285714286,0.8660714285714286,0.8660714285714286
9.0,validation,0.8135593220338984,0.8135593220338984,0.8135593220338985
9.0,test,0.8776785714285714,0.8776785714285714,0.8776785714285714
10.0,validation,0.788135593220339,0.788135593220339,0.788135593220339
10.0,test,0.8678571428571429,0.8678571428571429,0.8678571428571429
11.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
11.0,test,0.8767857142857143,0.8767857142857143,0.8767857142857144
12.0,validation,0.8163841807909604,0.8163841807909604,0.8163841807909603
12.0,test,0.8758928571428571,0.8758928571428571,0.8758928571428573
13.0,validation,0.8192090395480226,0.8192090395480226,0.8192090395480226
13.0,test,0.8830357142857143,0.8830357142857143,0.8830357142857143
14.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
14.0,test,0.8857142857142857,0.8857142857142857,0.8857142857142857
15.0,validation,0.8050847457627118,0.8050847457627118,0.8050847457627118
15.0,test,0.8839285714285714,0.8839285714285714,0.8839285714285714
16.0,validation,0.8107344632768362,0.8107344632768362,0.8107344632768362
16.0,test,0.8785714285714286,0.8785714285714286,0.8785714285714286
17.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
17.0,test,0.8839285714285714,0.8839285714285714,0.8839285714285714
18.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
18.0,test,0.8848214285714285,0.8848214285714285,0.8848214285714285
19.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
19.0,test,0.8848214285714285,0.8848214285714285,0.8848214285714285
20.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
20.0,test,0.8830357142857143,0.8830357142857143,0.8830357142857143
