epoch,sample_set,precision,recall,f1
1.0,validation,0.8471337579617835,0.7556818181818182,0.7987987987987988
1.0,test,0.7335058214747736,0.6856106408706167,0.7087500000000001
2.0,validation,0.8245614035087719,0.8011363636363636,0.8126801152737753
2.0,test,0.7623049219687875,0.7678355501813785,0.7650602409638555
3.0,validation,0.8218390804597702,0.8125,0.8171428571428573
3.0,test,0.7511627906976744,0.781136638452237,0.7658565500889153
4.0,validation,0.8430232558139535,0.8238636363636364,0.8333333333333334
4.0,test,0.7898550724637681,0.7908101571946796,0.790332326283988
5.0,validation,0.8313953488372093,0.8125,0.8218390804597702
5.0,test,0.7870036101083032,0.7908101571946796,0.7889022919179736
6.0,validation,0.8304093567251462,0.8068181818181818,0.8184438040345822
6.0,test,0.8036585365853659,0.7968561064087062,0.8002428658166363
7.0,validation,0.8402366863905325,0.8068181818181818,0.8231884057971014
7.0,test,0.8188679245283019,0.7871825876662636,0.8027127003699136
8.0,validation,0.8324022346368715,0.8465909090909091,0.8394366197183099
8.0,test,0.7619589977220956,0.8089480048367593,0.7847507331378298
9.0,validation,0.8362573099415205,0.8125,0.8242074927953891
9.0,test,0.8068459657701712,0.7980652962515115,0.8024316109422492
10.0,validation,0.8352272727272727,0.8352272727272727,0.8352272727272727
10.0,test,0.8090692124105012,0.8198307134220073,0.8144144144144145
11.0,validation,0.8295454545454546,0.8295454545454546,0.8295454545454547
11.0,test,0.7911832946635731,0.8246674727932285,0.807578448786264
12.0,validation,0.8439306358381503,0.8295454545454546,0.836676217765043
12.0,test,0.8277982779827798,0.8137847642079806,0.8207317073170732
13.0,validation,0.8457142857142858,0.8409090909090909,0.8433048433048433
13.0,test,0.8271308523409364,0.8331318016928658,0.8301204819277109
14.0,validation,0.8448275862068966,0.8352272727272727,0.84
14.0,test,0.8189448441247003,0.8258766626360339,0.8223961468994582
15.0,validation,0.8448275862068966,0.8352272727272727,0.84
15.0,test,0.816884661117717,0.8307134220072552,0.8237410071942447
16.0,validation,0.8457142857142858,0.8409090909090909,0.8433048433048433
16.0,test,0.8173076923076923,0.8222490931076178,0.8197709463532248
17.0,validation,0.8514285714285714,0.8465909090909091,0.849002849002849
17.0,test,0.8160095579450418,0.8258766626360339,0.8209134615384616
18.0,validation,0.8514285714285714,0.8465909090909091,0.849002849002849
18.0,test,0.8160095579450418,0.8258766626360339,0.8209134615384616
19.0,validation,0.8514285714285714,0.8465909090909091,0.849002849002849
19.0,test,0.8166666666666667,0.8295042321644498,0.8230353929214158
20.0,validation,0.8514285714285714,0.8465909090909091,0.849002849002849
20.0,test,0.8166666666666667,0.8295042321644498,0.8230353929214158
