epoch,sample_set,precision,recall,f1
1.0,validation,0.725925925925926,0.7452471482889734,0.7354596622889306
1.0,test,0.6521264994547438,0.6849942726231386,0.6681564245810055
2.0,validation,0.7890625,0.7680608365019012,0.7784200385356455
2.0,test,0.7207415990730012,0.7124856815578465,0.7165898617511521
3.0,validation,0.7689393939393939,0.7718631178707225,0.7703984819734345
3.0,test,0.7417519908987485,0.7468499427262314,0.7442922374429223
4.0,validation,0.82421875,0.8022813688212928,0.8131021194605009
4.0,test,0.7658592848904268,0.7605956471935853,0.7632183908045977
5.0,validation,0.8129770992366412,0.8098859315589354,0.8114285714285715
5.0,test,0.7997698504027618,0.7961053837342497,0.7979334098737084
6.0,validation,0.7881040892193308,0.8060836501901141,0.7969924812030074
6.0,test,0.760485651214128,0.7892325315005727,0.7745924676784711
7.0,validation,0.816793893129771,0.8136882129277566,0.8152380952380952
7.0,test,0.8182870370370371,0.8098510882016037,0.8140472078295914
8.0,validation,0.7912087912087912,0.8212927756653993,0.8059701492537313
8.0,test,0.763215859030837,0.7938144329896907,0.7782144862436833
9.0,validation,0.8604651162790697,0.844106463878327,0.8522072936660269
9.0,test,0.8138173302107728,0.7961053837342497,0.8048639258830342
10.0,validation,0.8467432950191571,0.8403041825095057,0.8435114503816793
10.0,test,0.8127853881278538,0.8155784650630011,0.8141795311606632
11.0,validation,0.8421052631578947,0.8517110266159695,0.8468809073724007
11.0,test,0.812004530011325,0.8213058419243986,0.816628701594533
12.0,validation,0.8345864661654135,0.844106463878327,0.8393194706994328
12.0,test,0.8112994350282486,0.8224513172966781,0.8168373151308305
13.0,validation,0.8188679245283019,0.8250950570342205,0.8219696969696968
13.0,test,0.7943820224719101,0.8098510882016037,0.8020419739081113
14.0,validation,0.8517110266159695,0.8517110266159695,0.8517110266159695
14.0,test,0.8127853881278538,0.8155784650630011,0.8141795311606632
15.0,validation,0.8171641791044776,0.8326996197718631,0.8248587570621468
15.0,test,0.7909090909090909,0.7972508591065293,0.7940673131774103
16.0,validation,0.8277153558052435,0.8403041825095057,0.8339622641509433
16.0,test,0.8099078341013825,0.8052691867124857,0.8075818495117749
17.0,validation,0.8208955223880597,0.8365019011406845,0.8286252354048965
17.0,test,0.7990919409761634,0.8064146620847652,0.8027366020524515
18.0,validation,0.835820895522388,0.8517110266159695,0.8436911487758945
18.0,test,0.8087056128293242,0.8087056128293242,0.8087056128293242
19.0,validation,0.8352059925093633,0.8479087452471483,0.8415094339622642
19.0,test,0.8119266055045872,0.8109965635738832,0.811461318051576
20.0,validation,0.8352059925093633,0.8479087452471483,0.8415094339622642
20.0,test,0.808,0.8098510882016037,0.8089244851258582
