epoch,sample_set,precision,recall,f1
1.0,validation,0.5121951219512195,0.4790874524714829,0.4950884086444008
1.0,test,0.5215909090909091,0.5257731958762887,0.5236737022247576
2.0,validation,0.4689655172413793,0.5171102661596958,0.4918625678119348
2.0,test,0.4746588693957115,0.5578465063001146,0.5129015271195366
3.0,validation,0.46785714285714286,0.49809885931558934,0.48250460405156537
3.0,test,0.4728205128205128,0.5280641466208477,0.49891774891774887
4.0,validation,0.44983818770226536,0.5285171102661597,0.48601398601398604
4.0,test,0.4462962962962963,0.5521191294387171,0.4935995903737839
5.0,validation,0.42443729903536975,0.5019011406844106,0.45993031358885017
5.0,test,0.43415077202543145,0.5475372279495991,0.48429584599797376
6.0,validation,0.4119601328903654,0.4714828897338403,0.4397163120567376
6.0,test,0.42884801548886736,0.5074455899198167,0.4648478488982161
7.0,validation,0.3753943217665615,0.4524714828897338,0.4103448275862069
7.0,test,0.42429906542056073,0.5200458190148912,0.46731857951621203
8.0,validation,0.4158415841584158,0.4790874524714829,0.44522968197879853
8.0,test,0.4329501915708812,0.5177548682703322,0.4715701617110068
9.0,validation,0.3926174496644295,0.4448669201520912,0.4171122994652406
9.0,test,0.4048309178743961,0.47995418098510884,0.43920335429769397
10.0,validation,0.3925233644859813,0.4790874524714829,0.43150684931506855
10.0,test,0.40232974910394265,0.5143184421534936,0.4514831573655103
11.0,validation,0.3818770226537217,0.44866920152091255,0.41258741258741266
11.0,test,0.3996212121212121,0.4833906071019473,0.4375324002073613
12.0,validation,0.3872053872053872,0.4372623574144487,0.41071428571428575
12.0,test,0.4139941690962099,0.4879725085910653,0.44794952681388006
13.0,validation,0.37658227848101267,0.4524714828897338,0.4110535405872193
13.0,test,0.402245088868101,0.4925544100801833,0.4428424304840371
14.0,validation,0.3967741935483871,0.467680608365019,0.4293193717277487
14.0,test,0.4114877589453861,0.5005727376861397,0.45167958656330753
15.0,validation,0.3782051282051282,0.44866920152091255,0.4104347826086956
15.0,test,0.4037735849056604,0.49026345933562426,0.44283497154681845
16.0,validation,0.36908517350157727,0.4448669201520912,0.40344827586206894
16.0,test,0.3944186046511628,0.4856815578465063,0.4353182751540041
17.0,validation,0.3659305993690852,0.44106463878326996,0.4
17.0,test,0.3925925925925926,0.4856815578465063,0.4342037890424987
18.0,validation,0.3670886075949367,0.44106463878326996,0.40069084628670126
18.0,test,0.39664804469273746,0.4879725085910653,0.4375963020030817
19.0,validation,0.36792452830188677,0.4448669201520912,0.40275387263339063
19.0,test,0.39759036144578314,0.49140893470790376,0.4395491803278688
20.0,validation,0.36792452830188677,0.4448669201520912,0.40275387263339063
20.0,test,0.3962962962962963,0.49026345933562426,0.43830005120327703
