epoch,sample_set,precision,recall,f1
1.0,validation,0.9171270718232044,0.9171270718232044,0.9171270718232044
1.0,test,0.8926829268292683,0.8926829268292683,0.8926829268292683
2.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
2.0,test,0.9040650406504065,0.9040650406504065,0.9040650406504065
3.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
3.0,test,0.9154471544715447,0.9154471544715447,0.9154471544715447
4.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
4.0,test,0.9219512195121952,0.9219512195121952,0.9219512195121952
5.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
5.0,test,0.9284552845528455,0.9284552845528455,0.9284552845528455
6.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
6.0,test,0.9300813008130081,0.9300813008130081,0.9300813008130081
7.0,validation,0.9502762430939227,0.9502762430939227,0.9502762430939227
7.0,test,0.9300813008130081,0.9300813008130081,0.9300813008130081
8.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
8.0,test,0.926829268292683,0.926829268292683,0.926829268292683
9.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
9.0,test,0.9300813008130081,0.9300813008130081,0.9300813008130081
10.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
10.0,test,0.926829268292683,0.926829268292683,0.926829268292683
11.0,validation,0.9502762430939227,0.9502762430939227,0.9502762430939227
11.0,test,0.9252032520325203,0.9252032520325203,0.9252032520325203
12.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
12.0,test,0.9300813008130081,0.9300813008130081,0.9300813008130081
13.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
13.0,test,0.9235772357723577,0.9235772357723577,0.9235772357723577
14.0,validation,0.9502762430939227,0.9502762430939227,0.9502762430939227
14.0,test,0.9235772357723577,0.9235772357723577,0.9235772357723577
15.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
15.0,test,0.926829268292683,0.926829268292683,0.926829268292683
16.0,validation,0.9502762430939227,0.9502762430939227,0.9502762430939227
16.0,test,0.9252032520325203,0.9252032520325203,0.9252032520325203
17.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
17.0,test,0.9235772357723577,0.9235772357723577,0.9235772357723577
18.0,validation,0.9502762430939227,0.9502762430939227,0.9502762430939227
18.0,test,0.926829268292683,0.926829268292683,0.926829268292683
19.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
19.0,test,0.9252032520325203,0.9252032520325203,0.9252032520325203
20.0,validation,0.9558011049723757,0.9558011049723757,0.9558011049723757
20.0,test,0.9252032520325203,0.9252032520325203,0.9252032520325203
