epoch,sample_set,precision,recall,f1
1.0,validation,0.2916666666666667,0.23333333333333334,0.2592592592592593
1.0,test,0.33719704952581664,0.31007751937984496,0.32306915699141847
2.0,validation,0.40963855421686746,0.5666666666666667,0.4755244755244755
2.0,test,0.24042879019908117,0.4563953488372093,0.3149448345035105
3.0,validation,0.5625,0.6,0.5806451612903225
3.0,test,0.3263157894736842,0.45058139534883723,0.3785103785103785
4.0,validation,0.6212121212121212,0.6833333333333333,0.6507936507936507
4.0,test,0.3357245337159254,0.45348837209302323,0.38582028029678483
5.0,validation,0.6440677966101694,0.6333333333333333,0.6386554621848739
5.0,test,0.3516572352465643,0.42151162790697677,0.3834288232701631
6.0,validation,0.6909090909090909,0.6333333333333333,0.6608695652173913
6.0,test,0.3516666666666667,0.40891472868217055,0.3781362007168459
7.0,validation,0.7090909090909091,0.65,0.6782608695652174
7.0,test,0.3576104746317512,0.42344961240310075,0.3877551020408163
8.0,validation,0.7272727272727273,0.6666666666666666,0.6956521739130435
8.0,test,0.36084142394822005,0.4321705426356589,0.3932980599647266
9.0,validation,0.7272727272727273,0.6666666666666666,0.6956521739130435
9.0,test,0.41006523765144454,0.4263565891472868,0.4180522565320665
10.0,validation,0.7222222222222222,0.65,0.6842105263157895
10.0,test,0.41112123974475845,0.437015503875969,0.4236730859558478
11.0,validation,0.7592592592592593,0.6833333333333333,0.7192982456140351
11.0,test,0.4165898617511521,0.437984496124031,0.4270193670288144
12.0,validation,0.7777777777777778,0.7,0.7368421052631577
12.0,test,0.40569395017793597,0.4418604651162791,0.42300556586270877
13.0,validation,0.7818181818181819,0.7166666666666667,0.7478260869565218
13.0,test,0.3937341236240474,0.45058139534883723,0.42024401265250794
14.0,validation,0.7857142857142857,0.7333333333333333,0.7586206896551724
14.0,test,0.393964794635373,0.45542635658914726,0.4224719101123595
15.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
15.0,test,0.39780405405405406,0.4563953488372093,0.4250902527075812
16.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
16.0,test,0.40085106382978725,0.4563953488372093,0.42682374263706385
17.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
17.0,test,0.40638481449525454,0.4563953488372093,0.4299406663623916
18.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
18.0,test,0.4087719298245614,0.45155038759689925,0.429097605893186
19.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
19.0,test,0.4100087796312555,0.45251937984496127,0.4302164900967296
20.0,validation,0.8070175438596491,0.7666666666666667,0.7863247863247863
20.0,test,0.4100087796312555,0.45251937984496127,0.4302164900967296
