epoch,sample_set,precision,recall,f1
1.0,validation,0.8,0.8,0.8000000000000002
1.0,test,0.6677115987460815,0.6677115987460815,0.6677115987460815
2.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
2.0,test,0.7100313479623824,0.7100313479623824,0.7100313479623824
3.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
3.0,test,0.7100313479623824,0.7100313479623824,0.7100313479623824
4.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
4.0,test,0.6692789968652038,0.6692789968652038,0.6692789968652038
5.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
5.0,test,0.6974921630094044,0.6974921630094044,0.6974921630094044
6.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
6.0,test,0.713166144200627,0.713166144200627,0.7131661442006271
7.0,validation,0.9,0.9,0.9
7.0,test,0.6802507836990596,0.6802507836990596,0.6802507836990596
8.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
8.0,test,0.7115987460815048,0.7115987460815048,0.7115987460815048
9.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
9.0,test,0.7037617554858934,0.7037617554858934,0.7037617554858934
10.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
10.0,test,0.6896551724137931,0.6896551724137931,0.6896551724137931
11.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
11.0,test,0.6880877742946708,0.6880877742946708,0.6880877742946708
12.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
12.0,test,0.6974921630094044,0.6974921630094044,0.6974921630094044
13.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
13.0,test,0.700626959247649,0.700626959247649,0.700626959247649
14.0,validation,0.9666666666666667,0.9666666666666667,0.9666666666666667
14.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
15.0,validation,0.9666666666666667,0.9666666666666667,0.9666666666666667
15.0,test,0.6896551724137931,0.6896551724137931,0.6896551724137931
16.0,validation,0.9666666666666667,0.9666666666666667,0.9666666666666667
16.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
17.0,validation,0.9666666666666667,0.9666666666666667,0.9666666666666667
17.0,test,0.6927899686520376,0.6927899686520376,0.6927899686520376
18.0,validation,0.95,0.95,0.9500000000000001
18.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
19.0,validation,0.95,0.95,0.9500000000000001
19.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
20.0,validation,0.95,0.95,0.9500000000000001
20.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
