epoch,sample_set,precision,recall,f1
1.0,validation,0.18532404927691484,0.2599549211119459,0.21638524077548466
1.0,test,0.18532404927691484,0.2599549211119459,0.21638524077548466
2.0,validation,0.22693602693602694,0.5063861758076634,0.3134154847709835
2.0,test,0.22693602693602694,0.5063861758076634,0.3134154847709835
3.0,validation,0.2787712058688675,0.4567993989481593,0.34624145785877
3.0,test,0.2787712058688675,0.4567993989481593,0.34624145785877
4.0,validation,0.34099868593955324,0.3899323816679189,0.36382754994742383
4.0,test,0.34099868593955324,0.3899323816679189,0.36382754994742383
5.0,validation,0.33022490400438836,0.4522915101427498,0.3817374762206722
5.0,test,0.33022490400438836,0.4522915101427498,0.3817374762206722
6.0,validation,0.34814427600627285,0.5003756574004508,0.41060419235511714
6.0,test,0.34814427600627285,0.5003756574004508,0.41060419235511714
7.0,validation,0.39315230224321135,0.5003756574004508,0.4403305785123967
7.0,test,0.39315230224321135,0.5003756574004508,0.4403305785123967
8.0,validation,0.39882005899705014,0.5078888054094666,0.44679444811632524
8.0,test,0.39882005899705014,0.5078888054094666,0.44679444811632524
9.0,validation,0.4097051597051597,0.5011269722013524,0.45082798242649547
9.0,test,0.4097051597051597,0.5011269722013524,0.45082798242649547
10.0,validation,0.4055859137826351,0.5018782870022539,0.4486232370718603
10.0,test,0.4055859137826351,0.5018782870022539,0.4486232370718603
11.0,validation,0.4286640726329442,0.4966190833959429,0.46014618865297596
11.0,test,0.4286640726329442,0.4966190833959429,0.46014618865297596
12.0,validation,0.4318330071754729,0.4973703981968445,0.46229050279329603
12.0,test,0.4318330071754729,0.4973703981968445,0.46229050279329603
13.0,validation,0.4261658031088083,0.49436513899323814,0.4577391304347826
13.0,test,0.4261658031088083,0.49436513899323814,0.4577391304347826
14.0,validation,0.4063453325198292,0.5003756574004508,0.44848484848484843
14.0,test,0.4063453325198292,0.5003756574004508,0.44848484848484843
15.0,validation,0.40386940749697703,0.5018782870022539,0.44757118927973205
15.0,test,0.40386940749697703,0.5018782870022539,0.44757118927973205
16.0,validation,0.40337146297411197,0.5033809166040571,0.44786096256684493
16.0,test,0.40337146297411197,0.5033809166040571,0.44786096256684493
17.0,validation,0.4045481747456613,0.5078888054094666,0.4503664223850766
17.0,test,0.4045481747456613,0.5078888054094666,0.4503664223850766
18.0,validation,0.4034564958283671,0.5086401202103682,0.449983383183782
18.0,test,0.4034564958283671,0.5086401202103682,0.449983383183782
19.0,validation,0.40166369578134287,0.5078888054094666,0.4485733244857333
19.0,test,0.40166369578134287,0.5078888054094666,0.4485733244857333
20.0,validation,0.40166369578134287,0.5078888054094666,0.4485733244857333
20.0,test,0.40166369578134287,0.5078888054094666,0.4485733244857333
