epoch,sample_set,precision,recall,f1
1.0,validation,0.5147058823529411,0.5833333333333334,0.5468749999999999
1.0,test,0.5084897229669347,0.4274981217129977,0.46448979591836737
2.0,validation,0.5555555555555556,0.8333333333333334,0.6666666666666667
2.0,test,0.424373795761079,0.66190833959429,0.5171705312591722
3.0,validation,0.5930232558139535,0.85,0.6986301369863014
3.0,test,0.446980504041845,0.7062359128474831,0.5474665113570181
4.0,validation,0.8166666666666667,0.8166666666666667,0.8166666666666667
4.0,test,0.6762060506950123,0.6213373403456048,0.6476115896632733
5.0,validation,0.819672131147541,0.8333333333333334,0.8264462809917356
5.0,test,0.6706539074960127,0.6318557475582269,0.6506769825918762
6.0,validation,0.796875,0.85,0.8225806451612903
6.0,test,0.5885906040268456,0.6589030803906837,0.6217653314427507
7.0,validation,0.796875,0.85,0.8225806451612903
7.0,test,0.6429618768328446,0.6589030803906837,0.650834879406308
8.0,validation,0.8813559322033898,0.8666666666666667,0.8739495798319329
8.0,test,0.6922448979591836,0.637114951164538,0.6635367762128325
9.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
9.0,test,0.7013311148086523,0.6333583771600301,0.6656138965653376
10.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
10.0,test,0.7184724689165186,0.6078136739293765,0.6585266585266585
11.0,validation,0.8524590163934426,0.8666666666666667,0.8595041322314049
11.0,test,0.7192342752962625,0.5927873779113448,0.6499176276771006
12.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
12.0,test,0.7176901924839597,0.5882794891059354,0.6465730800990916
13.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
13.0,test,0.717948717948718,0.5890308039068369,0.6471316549731737
14.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
14.0,test,0.7170154686078253,0.5920360631104433,0.6485596707818929
15.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
15.0,test,0.718348623853211,0.5882794891059354,0.6468401486988847
16.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
16.0,test,0.7198879551820728,0.5792637114951165,0.6419650291423814
17.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
17.0,test,0.724624060150376,0.5792637114951165,0.6438413361169102
18.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
18.0,test,0.723943661971831,0.5792637114951165,0.6435726210350584
19.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
19.0,test,0.723943661971831,0.5792637114951165,0.6435726210350584
20.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
20.0,test,0.723943661971831,0.5792637114951165,0.6435726210350584
