epoch,sample_set,precision,recall,f1
1.0,validation,0.7666666666666667,0.7666666666666667,0.7666666666666667
1.0,test,0.7714285714285715,0.7714285714285715,0.7714285714285715
2.0,validation,0.7666666666666667,0.7666666666666667,0.7666666666666667
2.0,test,0.76875,0.76875,0.76875
3.0,validation,0.8,0.8,0.8000000000000002
3.0,test,0.7696428571428572,0.7696428571428572,0.7696428571428572
4.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
4.0,test,0.7633928571428571,0.7633928571428571,0.7633928571428571
5.0,validation,0.85,0.85,0.85
5.0,test,0.7732142857142857,0.7732142857142857,0.7732142857142857
6.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
6.0,test,0.7678571428571429,0.7678571428571429,0.7678571428571429
7.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
7.0,test,0.7732142857142857,0.7732142857142857,0.7732142857142857
8.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
8.0,test,0.7696428571428572,0.7696428571428572,0.7696428571428572
9.0,validation,0.8666666666666667,0.8666666666666667,0.8666666666666667
9.0,test,0.76875,0.76875,0.76875
10.0,validation,0.9,0.9,0.9
10.0,test,0.7696428571428572,0.7696428571428572,0.7696428571428572
11.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
11.0,test,0.7705357142857143,0.7705357142857143,0.7705357142857143
12.0,validation,0.9,0.9,0.9
12.0,test,0.7696428571428572,0.7696428571428572,0.7696428571428572
13.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
13.0,test,0.7732142857142857,0.7732142857142857,0.7732142857142857
14.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
14.0,test,0.7705357142857143,0.7705357142857143,0.7705357142857143
15.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
15.0,test,0.775,0.775,0.775
16.0,validation,0.95,0.95,0.9500000000000001
16.0,test,0.7767857142857143,0.7767857142857143,0.7767857142857143
17.0,validation,0.95,0.95,0.9500000000000001
17.0,test,0.7732142857142857,0.7732142857142857,0.7732142857142857
18.0,validation,0.95,0.95,0.9500000000000001
18.0,test,0.7741071428571429,0.7741071428571429,0.7741071428571429
19.0,validation,0.95,0.95,0.9500000000000001
19.0,test,0.7741071428571429,0.7741071428571429,0.7741071428571429
20.0,validation,0.95,0.95,0.9500000000000001
20.0,test,0.7741071428571429,0.7741071428571429,0.7741071428571429
