epoch,sample_set,precision,recall,f1
1.0,validation,0.26229508196721313,0.26666666666666666,0.2644628099173554
1.0,test,0.18478260869565216,0.2877871825876663,0.22505910165484633
2.0,validation,0.46153846153846156,0.7,0.5562913907284769
2.0,test,0.19911259012756516,0.43409915356711004,0.27300380228136883
3.0,validation,0.5064935064935064,0.65,0.5693430656934306
3.0,test,0.21052631578947367,0.4062877871825877,0.27734213784564593
4.0,validation,0.5970149253731343,0.6666666666666666,0.6299212598425197
4.0,test,0.22598870056497175,0.38694074969770254,0.28533214444939814
5.0,validation,0.6428571428571429,0.75,0.6923076923076924
5.0,test,0.23679060665362034,0.43893591293833134,0.3076271186440678
6.0,validation,0.7076923076923077,0.7666666666666667,0.736
6.0,test,0.2788688138256088,0.42926239419588874,0.3380952380952381
7.0,validation,0.6911764705882353,0.7833333333333333,0.7343749999999999
7.0,test,0.2689969604863222,0.4280532043530834,0.3303779748016799
8.0,validation,0.6933333333333334,0.8666666666666667,0.7703703703703704
8.0,test,0.24932065217391305,0.4437726723095526,0.3192692474989126
9.0,validation,0.7878787878787878,0.8666666666666667,0.8253968253968254
9.0,test,0.28103579588728106,0.44619105199516323,0.3448598130841122
10.0,validation,0.7538461538461538,0.8166666666666667,0.784
10.0,test,0.29536208299430433,0.43893591293833134,0.3531128404669261
11.0,validation,0.7727272727272727,0.85,0.8095238095238095
11.0,test,0.2776946107784431,0.4486094316807739,0.343042071197411
12.0,validation,0.8059701492537313,0.9,0.8503937007874016
12.0,test,0.27405247813411077,0.4546553808948005,0.34197362437471573
13.0,validation,0.9193548387096774,0.95,0.9344262295081968
13.0,test,0.28670253651037664,0.45102781136638453,0.35056390977443613
14.0,validation,0.9508196721311475,0.9666666666666667,0.9586776859504132
14.0,test,0.31503378378378377,0.45102781136638453,0.3709597215315763
15.0,validation,0.9508196721311475,0.9666666666666667,0.9586776859504132
15.0,test,0.3151152860802733,0.44619105199516323,0.3693693693693693
16.0,validation,0.9672131147540983,0.9833333333333333,0.9752066115702478
16.0,test,0.3089092422980849,0.4486094316807739,0.3658777120315581
17.0,validation,0.9672131147540983,0.9833333333333333,0.9752066115702478
17.0,test,0.3067993366500829,0.44740024183796856,0.36399409739301525
18.0,validation,0.9672131147540983,0.9833333333333333,0.9752066115702478
18.0,test,0.30711920529801323,0.4486094316807739,0.3646191646191646
19.0,validation,0.9672131147540983,0.9833333333333333,0.9752066115702478
19.0,test,0.30711920529801323,0.4486094316807739,0.3646191646191646
20.0,validation,0.9672131147540983,0.9833333333333333,0.9752066115702478
20.0,test,0.3066115702479339,0.4486094316807739,0.3642611683848797
