epoch,sample_set,precision,recall,f1
1.0,validation,0.411635565312843,0.42955326460481097,0.4204035874439462
1.0,test,0.411635565312843,0.42955326460481097,0.4204035874439462
2.0,validation,0.289110005527916,0.5990836197021764,0.39000745712155105
2.0,test,0.289110005527916,0.5990836197021764,0.39000745712155105
3.0,validation,0.24876736889287315,0.6357388316151202,0.35760309278350516
3.0,test,0.24876736889287315,0.6357388316151202,0.35760309278350516
4.0,validation,0.4638336347197107,0.5876288659793815,0.5184436584133402
4.0,test,0.4638336347197107,0.5876288659793815,0.5184436584133402
5.0,validation,0.5081135902636917,0.5738831615120275,0.5389994620763852
5.0,test,0.5081135902636917,0.5738831615120275,0.5389994620763852
6.0,validation,0.4052044609665427,0.6242840778923253,0.491433724075744
6.0,test,0.4052044609665427,0.6242840778923253,0.491433724075744
7.0,validation,0.40554339897884756,0.6368843069873997,0.49554367201426025
7.0,test,0.40554339897884756,0.6368843069873997,0.49554367201426025
8.0,validation,0.43765084473049076,0.6231386025200458,0.5141776937618148
8.0,test,0.43765084473049076,0.6231386025200458,0.5141776937618148
9.0,validation,0.47597864768683273,0.6128293241695304,0.5358037055583376
9.0,test,0.47597864768683273,0.6128293241695304,0.5358037055583376
10.0,validation,0.4699215344376635,0.6174112256586484,0.5336633663366337
10.0,test,0.4699215344376635,0.6174112256586484,0.5336633663366337
11.0,validation,0.44847020933977455,0.6380297823596792,0.5267139479905437
11.0,test,0.44847020933977455,0.6380297823596792,0.5267139479905437
12.0,validation,0.45278450363196127,0.6426116838487973,0.53125
12.0,test,0.45278450363196127,0.6426116838487973,0.53125
13.0,validation,0.4744145706851691,0.6265750286368843,0.5399802566633761
13.0,test,0.4744145706851691,0.6265750286368843,0.5399802566633761
14.0,validation,0.49232158988256547,0.6242840778923253,0.5505050505050505
14.0,test,0.49232158988256547,0.6242840778923253,0.5505050505050505
15.0,validation,0.49054905490549056,0.6242840778923253,0.5493951612903226
15.0,test,0.49054905490549056,0.6242840778923253,0.5493951612903226
16.0,validation,0.4867021276595745,0.6288659793814433,0.5487256371814093
16.0,test,0.4867021276595745,0.6288659793814433,0.5487256371814093
17.0,validation,0.4817073170731707,0.6334478808705613,0.5472538347352796
17.0,test,0.4817073170731707,0.6334478808705613,0.5472538347352796
18.0,validation,0.4825174825174825,0.6323024054982818,0.5473475458601884
18.0,test,0.4825174825174825,0.6323024054982818,0.5473475458601884
19.0,validation,0.48381452318460194,0.6334478808705613,0.548611111111111
19.0,test,0.48381452318460194,0.6334478808705613,0.548611111111111
20.0,validation,0.4842381786339755,0.6334478808705613,0.5488833746898263
20.0,test,0.4842381786339755,0.6334478808705613,0.5488833746898263
