epoch,sample_set,precision,recall,f1
1.0,validation,0.0,0.0,0.0
1.0,test,0.029411764705882353,0.031007751937984496,0.03018867924528302
2.0,validation,0.0,0.0,0.0
2.0,test,0.027855153203342618,0.029069767441860465,0.02844950213371266
3.0,validation,0.046875,0.05,0.048387096774193554
3.0,test,0.026126126126126126,0.02810077519379845,0.02707749766573296
4.0,validation,0.047619047619047616,0.05,0.04878048780487805
4.0,test,0.018691588785046728,0.01937984496124031,0.019029495718363463
5.0,validation,0.07017543859649122,0.06666666666666667,0.06837606837606838
5.0,test,0.012512030798845043,0.012596899224806201,0.012554321583775955
6.0,validation,0.018518518518518517,0.016666666666666666,0.01754385964912281
6.0,test,0.013145539906103286,0.013565891472868217,0.01335240820219361
7.0,validation,0.013513513513513514,0.016666666666666666,0.014925373134328358
7.0,test,0.017699115044247787,0.01937984496124031,0.018501387604070305
8.0,validation,0.05303030303030303,0.11666666666666667,0.07291666666666666
8.0,test,0.021035598705501618,0.025193798449612403,0.02292768959435626
9.0,validation,0.1206896551724138,0.23333333333333334,0.1590909090909091
9.0,test,0.03162055335968379,0.03875968992248062,0.03482803656943839
10.0,validation,0.3855421686746988,0.5333333333333333,0.44755244755244755
10.0,test,0.04534792806880375,0.0562015503875969,0.050194720900043274
11.0,validation,0.6949152542372882,0.6833333333333333,0.6890756302521008
11.0,test,0.04387186629526462,0.061046511627906974,0.05105348460291734
12.0,validation,0.7627118644067796,0.75,0.7563025210084034
12.0,test,0.058694057226705794,0.07751937984496124,0.06680584551148226
13.0,validation,0.8275862068965517,0.8,0.8135593220338982
13.0,test,0.07716049382716049,0.09689922480620156,0.08591065292096219
14.0,validation,0.8275862068965517,0.8,0.8135593220338982
14.0,test,0.09234608985024959,0.10755813953488372,0.09937332139659803
15.0,validation,0.8448275862068966,0.8166666666666667,0.8305084745762712
15.0,test,0.10869565217391304,0.11627906976744186,0.11235955056179775
16.0,validation,0.8813559322033898,0.8666666666666667,0.8739495798319329
16.0,test,0.1105072463768116,0.1182170542635659,0.11423220973782772
17.0,validation,0.8813559322033898,0.8666666666666667,0.8739495798319329
17.0,test,0.11350844277673545,0.11724806201550388,0.11534795042897998
18.0,validation,0.9,0.9,0.9
18.0,test,0.11455399061032864,0.1182170542635659,0.11635670004768717
19.0,validation,0.9,0.9,0.9
19.0,test,0.1162136832239925,0.12015503875968993,0.11815150071462602
20.0,validation,0.9,0.9,0.9
20.0,test,0.1162136832239925,0.12015503875968993,0.11815150071462602
