epoch,sample_set,precision,recall,f1
1.0,validation,0.4782608695652174,0.7333333333333333,0.5789473684210527
1.0,test,0.7300509337860781,0.6461307287753568,0.685532084495815
2.0,validation,0.49411764705882355,0.7,0.5793103448275863
2.0,test,0.720949957591179,0.6386175807663411,0.6772908366533865
3.0,validation,0.5465116279069767,0.7833333333333333,0.6438356164383561
3.0,test,0.6488740617180984,0.5845229151014275,0.6150197628458498
4.0,validation,0.5333333333333333,0.8,0.64
4.0,test,0.6663872590108969,0.5972952667167544,0.6299524564183835
5.0,validation,0.6857142857142857,0.8,0.7384615384615385
5.0,test,0.670186839967506,0.6198347107438017,0.6440281030444965
6.0,validation,0.7936507936507936,0.8333333333333334,0.8130081300813008
6.0,test,0.7205128205128205,0.6333583771600301,0.6741303478608557
7.0,validation,0.9056603773584906,0.8,0.8495575221238938
7.0,test,0.6614906832298136,0.6401202103681443,0.6506300114547536
8.0,validation,0.9807692307692307,0.85,0.9107142857142857
8.0,test,0.6474708171206226,0.6250939143501127,0.636085626911315
9.0,validation,0.9629629629629629,0.8666666666666667,0.912280701754386
9.0,test,0.6836820083682008,0.613824192336589,0.6468725257323832
10.0,validation,0.9464285714285714,0.8833333333333333,0.9137931034482758
10.0,test,0.7123050259965338,0.6175807663410969,0.661569416498994
11.0,validation,0.9473684210526315,0.9,0.9230769230769231
11.0,test,0.7177489177489178,0.622839969947408,0.666934835076428
12.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
12.0,test,0.71733561058924,0.6311044327573253,0.6714628297362111
13.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
13.0,test,0.7152600170502984,0.6303531179564238,0.6701277955271566
14.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
14.0,test,0.7150127226463104,0.6333583771600301,0.6717131474103586
15.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
15.0,test,0.7140439932318104,0.6341096919609316,0.6717071229606049
16.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
16.0,test,0.7177759056444819,0.6401202103681443,0.6767275615567911
17.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
17.0,test,0.7192242833052277,0.6408715251690458,0.6777910210568135
18.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
18.0,test,0.7172995780590717,0.6386175807663411,0.6756756756756757
19.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
19.0,test,0.7179054054054054,0.6386175807663411,0.6759443339960238
20.0,validation,0.9824561403508771,0.9333333333333333,0.9572649572649572
20.0,test,0.7179054054054054,0.6386175807663411,0.6759443339960238
