epoch,sample_set,precision,recall,f1
1.0,validation,0.5119047619047619,0.7166666666666667,0.5972222222222221
1.0,test,0.7261904761904762,0.6416228399699474,0.6812923813322695
2.0,validation,0.5280898876404494,0.7833333333333333,0.6308724832214764
2.0,test,0.7232758620689655,0.6303531179564238,0.6736250501806504
3.0,validation,0.5595238095238095,0.7833333333333333,0.6527777777777777
3.0,test,0.6838602329450915,0.6175807663410969,0.6490327674694039
4.0,validation,0.43564356435643564,0.7333333333333333,0.5465838509316769
4.0,test,0.6541417591801879,0.5755071374906086,0.6123101518784972
5.0,validation,0.37037037037037035,0.6666666666666666,0.47619047619047616
5.0,test,0.6446215139442231,0.6078136739293765,0.625676720804331
6.0,validation,0.46534653465346537,0.7833333333333333,0.5838509316770186
6.0,test,0.6314176245210728,0.6190833959429001,0.6251896813353566
7.0,validation,0.5222222222222223,0.7833333333333333,0.6266666666666667
7.0,test,0.6891447368421053,0.6296018031555222,0.6580290537887711
8.0,validation,0.8846153846153846,0.7666666666666667,0.8214285714285715
8.0,test,0.7107843137254902,0.6536438767843726,0.6810176125244619
9.0,validation,0.8846153846153846,0.7666666666666667,0.8214285714285715
9.0,test,0.6966824644549763,0.6626596543951916,0.679245283018868
10.0,validation,0.8909090909090909,0.8166666666666667,0.8521739130434782
10.0,test,0.7393126571668064,0.6626596543951916,0.6988906497622821
11.0,validation,0.9107142857142857,0.85,0.8793103448275861
11.0,test,0.745531914893617,0.6581517655897822,0.6991221069433361
12.0,validation,0.8947368421052632,0.85,0.8717948717948718
12.0,test,0.7545375972342264,0.6558978211870774,0.7017684887459806
13.0,validation,0.8947368421052632,0.85,0.8717948717948718
13.0,test,0.7495741056218058,0.6611570247933884,0.7025948103792414
14.0,validation,0.8947368421052632,0.85,0.8717948717948718
14.0,test,0.7146302250803859,0.6679188580015026,0.6904854368932039
15.0,validation,0.8947368421052632,0.85,0.8717948717948718
15.0,test,0.7256493506493507,0.6716754320060105,0.6976199765899337
16.0,validation,0.8947368421052632,0.85,0.8717948717948718
16.0,test,0.6997654417513682,0.6724267468069121,0.685823754789272
17.0,validation,0.8947368421052632,0.85,0.8717948717948718
17.0,test,0.70234375,0.6754320060105184,0.6886250478743777
18.0,validation,0.8947368421052632,0.85,0.8717948717948718
18.0,test,0.7046875,0.6776859504132231,0.690923018000766
19.0,validation,0.8947368421052632,0.85,0.8717948717948718
19.0,test,0.704225352112676,0.67618332081142,0.689919509390571
20.0,validation,0.8947368421052632,0.85,0.8717948717948718
20.0,test,0.7036747458952306,0.67618332081142,0.689655172413793
