epoch,sample_set,precision,recall,f1
1.0,validation,0.0,0.0,0.0
1.0,test,0.013796627491057742,0.048214285714285716,0.021454112038140644
2.0,validation,0.0,0.0,0.0
2.0,test,0.0060569351907934586,0.017857142857142856,0.009045680687471733
3.0,validation,0.0,0.0,0.0
3.0,test,0.0031936127744510976,0.007142857142857143,0.004413793103448276
4.0,validation,0.09009009009009009,0.16666666666666666,0.11695906432748537
4.0,test,0.0012325390304026294,0.0026785714285714286,0.0016882386043894201
5.0,validation,0.7666666666666667,0.7666666666666667,0.7666666666666667
5.0,test,0.08461538461538462,0.1669642857142857,0.11231231231231231
6.0,validation,0.7833333333333333,0.7833333333333333,0.7833333333333333
6.0,test,0.329091960670908,0.5080357142857143,0.39943839943839937
7.0,validation,0.7833333333333333,0.7833333333333333,0.7833333333333333
7.0,test,0.5212298682284041,0.6357142857142857,0.5728077232502011
8.0,validation,0.85,0.85,0.85
8.0,test,0.5590200445434298,0.6723214285714286,0.6104580462099716
9.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
9.0,test,0.5650224215246636,0.675,0.6151342554922701
10.0,validation,0.8833333333333333,0.8833333333333333,0.8833333333333333
10.0,test,0.582010582010582,0.6875,0.6303724928366763
11.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
11.0,test,0.6021671826625387,0.6946428571428571,0.6451077943615257
12.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
12.0,test,0.6162246489859594,0.7053571428571429,0.6577851790174855
13.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
13.0,test,0.6186374314800314,0.7053571428571429,0.6591572799332499
14.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
14.0,test,0.6144859813084113,0.7044642857142858,0.656405990016639
15.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
15.0,test,0.6154446177847114,0.7044642857142858,0.6569525395503747
16.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
16.0,test,0.6146645865834633,0.7035714285714286,0.6561199000832639
17.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
17.0,test,0.6150855365474339,0.70625,0.657522859517872
18.0,validation,0.9166666666666666,0.9166666666666666,0.9166666666666666
18.0,test,0.617670054730258,0.7053571428571429,0.6586077532305128
19.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
19.0,test,0.6168881939014855,0.7044642857142858,0.657774072530221
20.0,validation,0.9333333333333333,0.9333333333333333,0.9333333333333333
20.0,test,0.6168881939014855,0.7044642857142858,0.657774072530221
