epoch,sample_set,precision,recall,f1
1.0,validation,0.009732360097323601,0.03902439024390244,0.01557935735150925
1.0,test,0.009732360097323601,0.03902439024390244,0.01557935735150925
2.0,validation,0.0031180400890868597,0.011382113821138212,0.0048951048951048955
2.0,test,0.0031180400890868597,0.011382113821138212,0.0048951048951048955
3.0,validation,0.0024378352023403218,0.008130081300813009,0.0037509377344336083
3.0,test,0.0024378352023403218,0.008130081300813009,0.0037509377344336083
4.0,validation,0.0020429009193054137,0.0065040650406504065,0.0031092110376991842
4.0,test,0.0020429009193054137,0.0065040650406504065,0.0031092110376991842
5.0,validation,0.021511627906976746,0.06016260162601626,0.03169164882226981
5.0,test,0.021511627906976746,0.06016260162601626,0.03169164882226981
6.0,validation,0.1792857142857143,0.408130081300813,0.2491315136476427
6.0,test,0.1792857142857143,0.408130081300813,0.2491315136476427
7.0,validation,0.30092204526404026,0.583739837398374,0.39712389380530977
7.0,test,0.30092204526404026,0.583739837398374,0.39712389380530977
8.0,validation,0.3724202626641651,0.6455284552845528,0.47233789411064847
8.0,test,0.3724202626641651,0.6455284552845528,0.47233789411064847
9.0,validation,0.3968253968253968,0.6504065040650406,0.49291435613062234
9.0,test,0.3968253968253968,0.6504065040650406,0.49291435613062234
10.0,validation,0.59375,0.7105691056910569,0.6469282013323464
10.0,test,0.59375,0.7105691056910569,0.6469282013323464
11.0,validation,0.6607929515418502,0.7317073170731707,0.6944444444444445
11.0,test,0.6607929515418502,0.7317073170731707,0.6944444444444445
12.0,validation,0.6842105263157895,0.7398373983739838,0.7109375
12.0,test,0.6842105263157895,0.7398373983739838,0.7109375
13.0,validation,0.6842105263157895,0.7398373983739838,0.7109375
13.0,test,0.6842105263157895,0.7398373983739838,0.7109375
14.0,validation,0.7017001545595054,0.7382113821138211,0.7194928684627574
14.0,test,0.7017001545595054,0.7382113821138211,0.7194928684627574
15.0,validation,0.7063369397217929,0.7430894308943089,0.7242472266244057
15.0,test,0.7063369397217929,0.7430894308943089,0.7242472266244057
16.0,validation,0.7109737248840804,0.7479674796747967,0.7290015847860538
16.0,test,0.7109737248840804,0.7479674796747967,0.7290015847860538
17.0,validation,0.7078825347758887,0.7447154471544716,0.7258320126782883
17.0,test,0.7078825347758887,0.7447154471544716,0.7258320126782883
18.0,validation,0.7078825347758887,0.7447154471544716,0.7258320126782883
18.0,test,0.7078825347758887,0.7447154471544716,0.7258320126782883
19.0,validation,0.7078825347758887,0.7447154471544716,0.7258320126782883
19.0,test,0.7078825347758887,0.7447154471544716,0.7258320126782883
20.0,validation,0.7078825347758887,0.7447154471544716,0.7258320126782883
20.0,test,0.7078825347758887,0.7447154471544716,0.7258320126782883
