epoch,sample_set,precision,recall,f1
1.0,train,0.9436498032062974,0.940399885200421,0.9420220412074749
1.0,validation,0.8054474708171206,0.7870722433460076,0.7961538461538461
1.0,test,0.7818181818181819,0.7880870561282932,0.784940102681118
2.0,train,0.9693887342865368,0.9664211231225486,0.9679026540193543
2.0,validation,0.8549019607843137,0.8288973384030418,0.8416988416988418
2.0,test,0.8221709006928406,0.8155784650630011,0.8188614146060955
3.0,train,0.9728807130665655,0.9815364010331962,0.9771893899709511
3.0,validation,0.8295454545454546,0.8326996197718631,0.8311195445920304
3.0,test,0.8325892857142857,0.854524627720504,0.8434143583945731
4.0,train,0.9879807692307693,0.9829713957715488,0.9854697165875413
4.0,validation,0.8488372093023255,0.8326996197718631,0.8406909788867561
4.0,test,0.8545034642032333,0.847651775486827,0.851063829787234
5.0,train,0.9929220468675275,0.9931120252559074,0.9930170269753205
5.0,validation,0.8603773584905661,0.8669201520912547,0.8636363636363635
5.0,test,0.8540229885057471,0.8510882016036655,0.8525530694205392
6.0,train,0.9971203685928202,0.9937816894671386,0.9954482296008816
6.0,validation,0.8598484848484849,0.8631178707224335,0.8614800759013284
6.0,test,0.8602771362586605,0.8533791523482245,0.8568142610695804
7.0,train,0.9882364102077602,0.9965560126279537,0.9923787748880633
7.0,validation,0.8492647058823529,0.8783269961977186,0.8635514018691588
7.0,test,0.8300220750551877,0.861397479954181,0.8454187745924677
8.0,train,0.9978963472939376,0.998373672629867,0.9981349528956052
8.0,validation,0.8917910447761194,0.908745247148289,0.9001883239171374
8.0,test,0.8699654775604143,0.865979381443299,0.8679678530424799
9.0,train,0.9975136272353448,0.9978953410504161,0.9977044476327116
9.0,validation,0.8415094339622642,0.8479087452471483,0.8446969696969697
9.0,test,0.8508474576271187,0.8625429553264605,0.8566552901023892
10.0,train,0.9980864906238041,0.9979910073663063,0.9980387467113131
10.0,validation,0.8603773584905661,0.8669201520912547,0.8636363636363635
10.0,test,0.8526434195725534,0.868270332187858,0.8603859250851305
11.0,train,0.9990433368410983,0.9990433368410983,0.9990433368410983
11.0,validation,0.8825757575757576,0.8859315589353612,0.8842504743833018
11.0,test,0.8694158075601375,0.8694158075601375,0.8694158075601375
12.0,train,0.9993303998469485,0.9994260021046589,0.9993781986894342
12.0,validation,0.8859315589353612,0.8859315589353612,0.8859315589353611
12.0,test,0.8539976825028969,0.8442153493699885,0.8490783410138248
13.0,train,0.9992347426822269,0.9993303357887687,0.9992825369493471
13.0,validation,0.8470149253731343,0.8631178707224335,0.8549905838041432
13.0,test,0.8535754824063564,0.861397479954181,0.8574686431014823
14.0,train,0.999043611323642,0.9993303357887687,0.9991869529867521
14.0,validation,0.850187265917603,0.8631178707224335,0.8566037735849057
14.0,test,0.8510882016036655,0.8510882016036655,0.8510882016036655
15.0,train,0.9996173713411135,0.9997130010523295,0.9996651839096954
15.0,validation,0.8651685393258427,0.8783269961977186,0.8716981132075471
15.0,test,0.8493771234428086,0.8591065292096219,0.8542141230068336
16.0,train,0.9996173347364393,0.9996173347364393,0.9996173347364393
16.0,validation,0.8614232209737828,0.8745247148288974,0.8679245283018868
16.0,test,0.8604118993135011,0.861397479954181,0.86090440755581
17.0,train,0.9996173713411135,0.9997130010523295,0.9996651839096954
17.0,validation,0.8576779026217228,0.870722433460076,0.8641509433962263
17.0,test,0.8505096262740657,0.8602520045819015,0.8553530751708428
18.0,train,0.9996173713411135,0.9997130010523295,0.9996651839096954
18.0,validation,0.8721804511278195,0.8821292775665399,0.8771266540642723
18.0,test,0.8553530751708428,0.8602520045819015,0.857795545402627
19.0,train,0.9996173713411135,0.9997130010523295,0.9996651839096954
19.0,validation,0.8651685393258427,0.8783269961977186,0.8716981132075471
19.0,test,0.8599088838268792,0.8648339060710195,0.8623643632210166
20.0,train,0.9996173713411135,0.9997130010523295,0.9996651839096954
20.0,validation,0.8651685393258427,0.8783269961977186,0.8716981132075471
20.0,test,0.8599088838268792,0.8648339060710195,0.8623643632210166
