epoch,sample_set,precision,recall,f1
1.0,train,0.9463280220438481,0.9161447459986082,0.9309918085921386
1.0,validation,0.8637362637362638,0.8136645962732919,0.837953091684435
1.0,test,0.8948207171314742,0.8437265214124718,0.8685228151585461
2.0,train,0.9788125448886761,0.9483878450475528,0.9633600377002828
2.0,validation,0.9235807860262009,0.8757763975155279,0.8990435706695005
2.0,test,0.9403341288782816,0.8880540946656649,0.9134466769706338
3.0,train,0.9829605963791267,0.9634655532359081,0.9731154454401687
3.0,validation,0.9311827956989247,0.8964803312629399,0.9135021097046413
3.0,test,0.9542635658914729,0.9248685199098422,0.9393361312476153
4.0,train,0.9872761545711592,0.9719322662955231,0.9795441262419639
4.0,validation,0.9267241379310345,0.8902691511387164,0.9081309398099261
4.0,test,0.9508070714834742,0.9293764087152517,0.939969604863222
5.0,train,0.9917355371900827,0.9742519137091162,0.9829159840861221
5.0,validation,0.9360341151385928,0.9089026915113871,0.9222689075630254
5.0,test,0.9619565217391305,0.9308790383170549,0.9461626575028638
6.0,train,0.9954917546565429,0.9732080723729993,0.9842237991906635
6.0,validation,0.9558498896247241,0.8964803312629399,0.9252136752136751
6.0,test,0.9664536741214057,0.9090909090909091,0.9368950832365467
7.0,train,0.9970674486803519,0.9858501507770819,0.9914270717909839
7.0,validation,0.9439655172413793,0.906832298136646,0.925026399155227
7.0,test,0.9588509316770186,0.9278737791134485,0.9431080565101183
8.0,train,0.9941806331471136,0.9907214103456274,0.9924480074358081
8.0,validation,0.9232365145228216,0.9213250517598344,0.9222797927461139
8.0,test,0.9547546012269938,0.9353869271224643,0.9449715370018974
9.0,train,0.9931530695137519,0.992577128276502,0.9928650153721214
9.0,validation,0.9297520661157025,0.9316770186335404,0.9307135470527403
9.0,test,0.952887537993921,0.9421487603305785,0.9474877219493766
10.0,train,0.9942075996292864,0.9953607051728137,0.9947838182450446
10.0,validation,0.9163265306122449,0.9296066252587992,0.9229188078108942
10.0,test,0.9408239700374532,0.9436513899323816,0.9422355588897223
11.0,train,0.9972144846796658,0.9965205288796103,0.9968673860076576
11.0,validation,0.9416666666666667,0.9358178053830227,0.9387331256490133
11.0,test,0.9544072948328267,0.9436513899323816,0.9489988666414809
12.0,train,0.9981429897864438,0.9974483878450475,0.9977955679313145
12.0,validation,0.9373695198329853,0.9296066252587992,0.9334719334719335
12.0,test,0.9521276595744681,0.941397445529677,0.9467321496033246
13.0,train,0.9960639036814077,0.9979123173277662,0.9969872537659328
13.0,validation,0.9398340248962656,0.937888198757764,0.938860103626943
13.0,test,0.9531368102796675,0.9474079639368895,0.950263752825923
14.0,train,0.9993038635572572,0.9989561586638831,0.9991299808595789
14.0,validation,0.9337474120082816,0.9337474120082816,0.9337474120082816
14.0,test,0.9487179487179487,0.9451540195341849,0.9469326307866015
15.0,train,0.9995359628770302,0.9993041057759221,0.9994200208792484
15.0,validation,0.9417879417879418,0.937888198757764,0.9398340248962656
15.0,test,0.9515151515151515,0.9436513899323816,0.947566955865711
16.0,train,0.9991883116883117,0.9994200881466018,0.9993041864780238
16.0,validation,0.9435146443514645,0.9337474120082816,0.9386056191467221
16.0,test,0.9531722054380665,0.9481592787377912,0.9506591337099812
17.0,train,0.9991883116883117,0.9994200881466018,0.9993041864780238
17.0,validation,0.9375,0.9316770186335404,0.9345794392523364
17.0,test,0.9544764795144158,0.9451540195341849,0.9497923744809362
18.0,train,0.9993041864780239,0.9994200881466018,0.9993621339518701
18.0,validation,0.9393305439330544,0.9296066252587992,0.9344432882414152
18.0,test,0.9567198177676538,0.946656649135988,0.9516616314199396
19.0,train,0.9991883116883117,0.9994200881466018,0.9993041864780238
19.0,validation,0.9375,0.9316770186335404,0.9345794392523364
19.0,test,0.9538228614685844,0.946656649135988,0.9502262443438915
20.0,train,0.9991883116883117,0.9994200881466018,0.9993041864780238
20.0,validation,0.9375,0.9316770186335404,0.9345794392523364
20.0,test,0.9538228614685844,0.946656649135988,0.9502262443438915
