epoch,sample_set,precision,recall,f1
1.0,train,0.8383934974898398,0.7970454545454545,0.8171967843411394
1.0,validation,0.8370044052863436,0.7867494824016563,0.8110992529348987
1.0,test,0.869983948635634,0.8144252441773103,0.8412883197516492
2.0,train,0.9401298389035826,0.8886363636363637,0.913658137632901
2.0,validation,0.9266666666666666,0.8633540372670807,0.8938906752411575
2.0,test,0.9299212598425197,0.8873027798647634,0.9081122645136486
3.0,train,0.9401963022141063,0.9361363636363637,0.9381619405534677
3.0,validation,0.8916155419222904,0.9026915113871635,0.8971193415637859
3.0,test,0.9332827899924185,0.9248685199098422,0.9290566037735849
4.0,train,0.9465614430665164,0.9540909090909091,0.9503112620260329
4.0,validation,0.9072164948453608,0.9109730848861284,0.9090909090909091
4.0,test,0.9366515837104072,0.9331329827197595,0.9348889725254046
5.0,train,0.9681962744207179,0.9686363636363636,0.968416269029766
5.0,validation,0.9142857142857143,0.927536231884058,0.920863309352518
5.0,test,0.9346696362286563,0.9459053343350864,0.9402539208364451
6.0,train,0.9725312145289444,0.9736363636363636,0.9730834752981261
6.0,validation,0.911522633744856,0.917184265010352,0.914344685242518
6.0,test,0.9360119047619048,0.9451540195341849,0.9405607476635514
7.0,train,0.9816387422538444,0.9720454545454545,0.9768185451638689
7.0,validation,0.9208333333333333,0.9151138716356108,0.9179646936656282
7.0,test,0.9484457922668689,0.9398948159278738,0.9441509433962264
8.0,train,0.9565025391918746,0.9845454545454545,0.9703214245716205
8.0,validation,0.8884462151394422,0.9233954451345756,0.9055837563451777
8.0,test,0.9345238095238095,0.9436513899323816,0.9390654205607475
9.0,train,0.9965596330275229,0.9875,0.9920091324200914
9.0,validation,0.9382978723404255,0.9130434782608695,0.9254984260230849
9.0,test,0.9541634835752483,0.9383921863260706,0.9462121212121213
10.0,train,0.9933820173436787,0.9893181818181818,0.9913459348667729
10.0,validation,0.9264705882352942,0.9130434782608695,0.9197080291970804
10.0,test,0.9588414634146342,0.9451540195341849,0.9519485433219826
11.0,train,0.9719875500222321,0.9936363636363637,0.9826927399415599
11.0,validation,0.8967611336032388,0.917184265010352,0.9068577277379732
11.0,test,0.9405646359583952,0.9511645379413974,0.9458348898020172
12.0,train,0.9947845804988662,0.9970454545454546,0.9959137343927355
12.0,validation,0.9126016260162602,0.9296066252587992,0.9210256410256411
12.0,test,0.9426656738644825,0.9511645379413974,0.9468960359012716
13.0,train,0.9984094523971825,0.9986363636363637,0.998522895125554
13.0,validation,0.9313929313929314,0.927536231884058,0.9294605809128631
13.0,test,0.9538228614685844,0.946656649135988,0.9502262443438915
14.0,train,0.9975011358473421,0.9979545454545454,0.997727789138832
14.0,validation,0.9473684210526315,0.9316770186335404,0.9394572025052191
14.0,test,0.955960516324981,0.9459053343350864,0.9509063444108762
15.0,train,0.9977262391996362,0.9972727272727273,0.9974994316890202
15.0,validation,0.9451476793248945,0.927536231884058,0.9362591431556949
15.0,test,0.9516250944822373,0.9459053343350864,0.9487565938206481
16.0,train,0.9986360536485565,0.9984090909090909,0.9985225593817479
16.0,validation,0.9372384937238494,0.927536231884058,0.9323621227887618
16.0,test,0.9473684210526315,0.946656649135988,0.9470124013528749
17.0,train,0.9986366734832992,0.9988636363636364,0.9987501420293148
17.0,validation,0.93125,0.9254658385093167,0.9283489096573209
17.0,test,0.9488721804511279,0.9481592787377912,0.9485155956407365
18.0,train,0.999090702432371,0.9988636363636364,0.9989771564950564
18.0,validation,0.9409282700421941,0.9233954451345756,0.9320794148380356
18.0,test,0.948756593820648,0.9459053343350864,0.9473288186606471
19.0,train,0.9984098137210359,0.9988636363636364,0.9986366734832992
19.0,validation,0.93125,0.9254658385093167,0.9283489096573209
19.0,test,0.9473288186606471,0.9459053343350864,0.9466165413533835
20.0,train,0.9984098137210359,0.9988636363636364,0.9986366734832992
20.0,validation,0.9331941544885177,0.9254658385093167,0.9293139293139292
20.0,test,0.9473288186606471,0.9459053343350864,0.9466165413533835
