epoch,sample_set,precision,recall,f1
1.0,train,0.9854046400174273,0.9605053615033443,0.9727956989247313
1.0,validation,0.9044289044289044,0.8033126293995859,0.8508771929824561
1.0,test,0.9366666666666666,0.8444778362133734,0.8881864875543263
2.0,train,0.9917359806815133,0.9810489436245886,0.9863635150641796
2.0,validation,0.9296703296703297,0.8757763975155279,0.9019189765458422
2.0,test,0.9559748427672956,0.9135987978963186,0.9343065693430658
3.0,train,0.992638036809816,0.9877375517570868,0.990181731101828
3.0,validation,0.9385593220338984,0.917184265010352,0.9277486910994764
3.0,test,0.9511077158135982,0.9353869271224643,0.9431818181818181
4.0,train,0.9978495779796785,0.9852956789468097,0.9915328935067711
4.0,validation,0.9688195991091314,0.9006211180124224,0.9334763948497855
4.0,test,0.9643705463182898,0.9151014274981217,0.9390902081727062
5.0,train,0.9949893390191897,0.9908695190572248,0.9929251555933827
5.0,validation,0.9368421052631579,0.9213250517598344,0.9290187891440501
5.0,test,0.9560524286815728,0.9316303531179564,0.943683409436834
6.0,train,0.9981255355612683,0.9893300775029197,0.9937083444414823
6.0,validation,0.9414316702819957,0.8985507246376812,0.9194915254237288
6.0,test,0.9609984399375975,0.9256198347107438,0.9429774205893608
7.0,train,0.9928099392016918,0.996868032699862,0.9948348475617832
7.0,validation,0.9065040650406504,0.9233954451345756,0.9148717948717949
7.0,test,0.9261992619926199,0.9429000751314801,0.9344750558451229
8.0,train,0.9989353774087086,0.9961779382100011,0.9975547522857751
8.0,validation,0.9246861924686193,0.9151138716356108,0.9198751300728407
8.0,test,0.9546850998463902,0.9338842975206612,0.9441701481200153
9.0,train,0.9976127320954907,0.9982482216795838,0.9979303757164085
9.0,validation,0.9218106995884774,0.927536231884058,0.9246646026831786
9.0,test,0.9500378501135504,0.9429000751314801,0.9464555052790348
10.0,train,0.9986719082022949,0.9979297165304173,0.9983006744198396
10.0,validation,0.9507494646680942,0.9192546583850931,0.9347368421052631
10.0,test,0.9626749611197511,0.9301277235161532,0.946121513183034
11.0,train,0.9995219377456709,0.998885231977917,0.9992034834324554
11.0,validation,0.9397089397089398,0.9358178053830227,0.9377593360995851
11.0,test,0.9555895865237366,0.9376408715251691,0.9465301478953356
12.0,train,0.9994161668701237,0.9995753264677779,0.9994957403328114
12.0,validation,0.9298969072164949,0.9337474120082816,0.9318181818181819
12.0,test,0.9459053343350864,0.9459053343350864,0.9459053343350864
13.0,train,1.0,0.9995753264677779,0.9997876181374111
13.0,validation,0.9372384937238494,0.927536231884058,0.9323621227887618
13.0,test,0.953184957789716,0.9331329827197595,0.9430523917995444
14.0,train,0.9994693271067714,0.9997876632338889,0.9996284698264423
14.0,validation,0.9213709677419355,0.9461697722567288,0.9336057201225741
14.0,test,0.9411764705882353,0.9496619083395943,0.9454001495886312
15.0,train,0.9997346072186837,0.9998407474254167,0.9997876745050162
15.0,validation,0.9241803278688525,0.9337474120082816,0.9289392378990731
15.0,test,0.9523088569265707,0.9451540195341849,0.9487179487179488
16.0,train,0.9997346213046017,0.9998938316169445,0.9998142201226148
16.0,validation,0.9279835390946503,0.9337474120082816,0.9308565531475749
16.0,test,0.9486016628873771,0.9429000751314801,0.945742275810098
17.0,train,0.9997876970436813,0.9999469158084723,0.999867300087582
17.0,validation,0.9284253578732107,0.9399585921325052,0.934156378600823
17.0,test,0.9509803921568627,0.9474079639368895,0.9491908167105758
18.0,train,0.9999469158084723,0.9999469158084723,0.9999469158084723
18.0,validation,0.9358178053830227,0.9358178053830227,0.9358178053830227
18.0,test,0.9522727272727273,0.9444027047332832,0.948321388155413
19.0,train,0.9999469158084723,0.9999469158084723,0.9999469158084723
19.0,validation,0.9300411522633745,0.9358178053830227,0.932920536635707
19.0,test,0.9515151515151515,0.9436513899323816,0.947566955865711
20.0,train,0.9999469158084723,0.9999469158084723,0.9999469158084723
20.0,validation,0.9281314168377823,0.9358178053830227,0.9319587628865978
20.0,test,0.9508320726172466,0.9444027047332832,0.947606483226536
