epoch,sample_set,precision,recall,f1
1.0,train,0.9897572785399467,0.9839545791162676,0.9868473988797078
1.0,validation,0.9348739495798319,0.9213250517598344,0.9280500521376434
1.0,test,0.9485801995395242,0.9286250939143501,0.938496583143508
2.0,train,0.9966131460110387,0.9806220686250309,0.9885529426402887
2.0,validation,0.9581497797356828,0.9006211180124224,0.928495197438634
2.0,test,0.9627228525121556,0.8925619834710744,0.9263157894736843
3.0,train,0.9937457427704501,0.9903727474697606,0.9920563780793125
3.0,validation,0.9359504132231405,0.937888198757764,0.9369183040330921
3.0,test,0.9563886763580719,0.9391435011269722,0.9476876421531463
4.0,train,0.9990041080542761,0.9904961737842508,0.9947319491788038
4.0,validation,0.951063829787234,0.9254658385093167,0.938090241343127
4.0,test,0.9620449264136328,0.9331329827197595,0.9473684210526315
5.0,train,0.9956784788245462,0.9953098000493705,0.9954941053021419
5.0,validation,0.9282786885245902,0.937888198757764,0.933058702368692
5.0,test,0.954337899543379,0.9421487603305785,0.9482041587901701
6.0,train,0.9972797527047913,0.9954949395211059,0.9963865468359121
6.0,validation,0.9395833333333333,0.9337474120082816,0.936656282450675
6.0,test,0.9599383667180277,0.9361382419233659,0.9478889311525295
7.0,train,0.9982709645547734,0.9976549000246853,0.9979628372121735
7.0,validation,0.9397089397089398,0.9358178053830227,0.9377593360995851
7.0,test,0.9557251908396946,0.9406461307287753,0.9481257099583492
8.0,train,0.9990111859588406,0.9975931868674401,0.9983016828778756
8.0,validation,0.9397089397089398,0.9358178053830227,0.9377593360995851
8.0,test,0.9557589626239512,0.941397445529677,0.9485238455715368
