epoch,sample_set,precision,recall,f1
1.0,train,0.826780253385758,0.8544018058690744,0.8403641207815277
1.0,validation,0.7794392523364486,0.8633540372670807,0.8192534381139489
1.0,test,0.8118131868131868,0.8880540946656649,0.8482238966630786
2.0,train,0.9160941547471562,0.918058690744921,0.9170753706522351
2.0,validation,0.8822355289421158,0.9151138716356108,0.8983739837398373
2.0,test,0.8772305496074233,0.9233658903080391,0.8997071742313324
3.0,train,0.9511282458328608,0.946726862302483,0.9489224503648396
3.0,validation,0.8855421686746988,0.9130434782608695,0.8990825688073394
3.0,test,0.9016630513376718,0.9368895567242674,0.9189388356669123
4.0,train,0.9535299374441466,0.963431151241535,0.9584549741747138
4.0,validation,0.899009900990099,0.9399585921325052,0.9190283400809718
4.0,test,0.8952583156404812,0.9504132231404959,0.9220116618075802
5.0,train,0.9757144470800858,0.9749435665914221,0.9753288545136339
5.0,validation,0.917004048582996,0.937888198757764,0.9273285568065508
5.0,test,0.9061371841155235,0.9429000751314801,0.9241531664212077
6.0,train,0.9625468164794008,0.9862302483069978,0.9742446203590144
6.0,validation,0.888030888030888,0.9523809523809523,0.919080919080919
6.0,test,0.865979381443299,0.946656649135988,0.9045226130653267
7.0,train,0.9883233193515475,0.9839729119638826,0.9861433176856513
7.0,validation,0.9327902240325866,0.94824016563147,0.9404517453798767
7.0,test,0.9211678832116789,0.9481592787377912,0.9344687152906331
8.0,train,0.9936247723132969,0.9851015801354401,0.9893448197687599
8.0,validation,0.9377593360995851,0.9358178053830227,0.9367875647668393
8.0,test,0.922962962962963,0.9361382419233659,0.9295039164490861
9.0,train,0.9925356254241122,0.9905191873589165,0.9915263811998645
9.0,validation,0.9249492900608519,0.9440993788819876,0.9344262295081968
9.0,test,0.9130116959064327,0.9383921863260706,0.925527973323453
10.0,train,0.9962601994560291,0.9922121896162528,0.9942320741913595
10.0,validation,0.9337474120082816,0.9337474120082816,0.9337474120082816
10.0,test,0.9280415430267063,0.9398948159278738,0.9339305711086227
11.0,train,0.9968279143536876,0.9931151241534989,0.9949680556340815
11.0,validation,0.9153225806451613,0.9399585921325052,0.9274770173646577
11.0,test,0.9140969162995595,0.9353869271224643,0.9246193835870776
12.0,train,0.9987559375706854,0.9967268623024831,0.9977403683199637
12.0,validation,0.9422680412371134,0.9461697722567288,0.9442148760330579
12.0,test,0.9261447562776958,0.9421487603305785,0.9340782122905027
13.0,train,0.9985319028797289,0.9979683972911964,0.9982500705616709
13.0,validation,0.9196787148594378,0.94824016563147,0.9337410805300713
13.0,test,0.9172113289760349,0.9489105935386927,0.9327917282127032
14.0,train,0.9985328969642252,0.9986455981941309,0.9985892443993003
14.0,validation,0.9216867469879518,0.9503105590062112,0.9357798165137615
14.0,test,0.9220014716703459,0.941397445529677,0.9315985130111526
15.0,train,0.9987584650112867,0.9987584650112867,0.9987584650112867
15.0,validation,0.9143426294820717,0.9503105590062112,0.9319796954314721
15.0,test,0.9193899782135077,0.9511645379413974,0.9350073855243722
16.0,train,0.9985328969642252,0.9986455981941309,0.9985892443993003
16.0,validation,0.92,0.9523809523809523,0.935910478128179
16.0,test,0.9195906432748538,0.9451540195341849,0.9321971100407559
17.0,train,0.9988713318284425,0.9988713318284425,0.9988713318284425
17.0,validation,0.9161676646706587,0.9503105590062112,0.9329268292682927
17.0,test,0.9203798392987582,0.946656649135988,0.9333333333333333
18.0,train,0.9985330625141051,0.9987584650112867,0.9986457510439002
18.0,validation,0.916,0.94824016563147,0.9318413021363173
18.0,test,0.9170305676855895,0.946656649135988,0.9316081330868761
19.0,train,0.9987587452042428,0.9989841986455982,0.99887145920325
19.0,validation,0.9178356713426854,0.94824016563147,0.9327902240325866
19.0,test,0.9176984705025492,0.946656649135988,0.9319526627218936
20.0,train,0.9988714592032502,0.9989841986455982,0.9989278257434683
20.0,validation,0.9178356713426854,0.94824016563147,0.9327902240325866
20.0,test,0.918978102189781,0.9459053343350864,0.9322473158089597
