epoch,sample_set,precision,recall,f1
1.0,train,0.7657763428235985,0.8346129238643634,0.7987142201132712
1.0,validation,0.7777777777777778,0.8260869565217391,0.8012048192771084
1.0,test,0.8403179190751445,0.873779113448535,0.8567219152854513
2.0,train,0.9160770116833964,0.8904350607805502,0.9030740530456648
2.0,validation,0.9123931623931624,0.8840579710144928,0.8980021030494216
2.0,test,0.9290670778720124,0.9053343350864012,0.9170471841704719
3.0,train,0.9181176470588235,0.9361804222648752,0.9270610596341173
3.0,validation,0.9154639175257732,0.9192546583850931,0.9173553719008265
3.0,test,0.9188384214445272,0.927122464312547,0.9229618548990277
4.0,train,0.9384372533543804,0.9508957133717211,0.9446254071661239
4.0,validation,0.9384288747346072,0.9151138716356108,0.9266247379454926
4.0,test,0.9375,0.9241172051089407,0.9307604994324631
5.0,train,0.9481726528040327,0.9627319257837492,0.9553968253968254
5.0,validation,0.9279835390946503,0.9337474120082816,0.9308565531475749
5.0,test,0.9226804123711341,0.941397445529677,0.9319449609520267
6.0,train,0.9766536964980544,0.963531669865643,0.970048309178744
6.0,validation,0.938034188034188,0.9089026915113871,0.9232386961093586
6.0,test,0.941400304414003,0.9293764087152517,0.9353497164461247
7.0,train,0.9820126397666504,0.9692898272552783,0.975609756097561
7.0,validation,0.9611231101511879,0.9213250517598344,0.9408033826638478
7.0,test,0.9397590361445783,0.9376408715251691,0.9386987589319293
8.0,train,0.9825750242013552,0.974088291746641,0.9783132530120482
8.0,validation,0.9566160520607375,0.9130434782608695,0.934322033898305
8.0,test,0.9438968915845337,0.9353869271224643,0.939622641509434
9.0,train,0.9864406779661017,0.977447216890595,0.9819233550253074
9.0,validation,0.9669603524229075,0.9089026915113871,0.9370330843116328
9.0,test,0.9492697924673328,0.9278737791134485,0.9384498480243161
10.0,train,0.9792491683827024,0.9888035828534869,0.9840031834460804
10.0,validation,0.9375,0.9316770186335404,0.9345794392523364
10.0,test,0.9314159292035398,0.9489105935386927,0.9400818756978042
11.0,train,0.9853782581055308,0.9916826615483045,0.9885204081632654
11.0,validation,0.9552238805970149,0.927536231884058,0.9411764705882353
11.0,test,0.9380134428678119,0.9436513899323816,0.9408239700374532
12.0,train,0.989769820971867,0.9904030710172744,0.9900863447393667
12.0,validation,0.9692982456140351,0.9151138716356108,0.9414270500532482
12.0,test,0.9590417310664606,0.932381667918858,0.9455238095238095
13.0,train,0.9890197326543603,0.9940818937939859,0.9915443522654755
13.0,validation,0.9656652360515021,0.9316770186335404,0.9483667017913594
13.0,test,0.9499620924943138,0.941397445529677,0.9456603773584906
14.0,train,0.9877719548991584,0.9948816378758797,0.9913140489282015
14.0,validation,0.9484978540772532,0.9151138716356108,0.9315068493150684
14.0,test,0.9465763732129421,0.9451540195341849,0.9458646616541353
15.0,train,0.9893566322478158,0.9961612284069098,0.9927472702638082
15.0,validation,0.9576271186440678,0.9358178053830227,0.9465968586387434
15.0,test,0.9460269865067467,0.9481592787377912,0.9470919324577861
16.0,train,0.9893667671798128,0.9971209213051824,0.9932287102684618
16.0,validation,0.9555084745762712,0.9337474120082816,0.9445026178010472
16.0,test,0.9475262368815592,0.9496619083395943,0.9485928705440899
17.0,train,0.9898348157560356,0.9968010236724248,0.9933057060886198
17.0,validation,0.9594882729211087,0.9316770186335404,0.9453781512605042
17.0,test,0.9466165413533835,0.9459053343350864,0.946260804208944
18.0,train,0.9901493485859548,0.9968010236724248,0.9934640522875817
18.0,validation,0.9635974304068522,0.9316770186335404,0.9473684210526315
18.0,test,0.94947209653092,0.9459053343350864,0.9476853594279263
19.0,train,0.9899952358265841,0.9971209213051824,0.993545302414535
19.0,validation,0.9555084745762712,0.9337474120082816,0.9445026178010472
19.0,test,0.947249434815373,0.9444027047332832,0.945823927765237
20.0,train,0.9899952358265841,0.9971209213051824,0.993545302414535
20.0,validation,0.9555084745762712,0.9337474120082816,0.9445026178010472
20.0,test,0.9480812641083521,0.946656649135988,0.9473684210526315
