epoch,sample_set,precision,recall,f1
1.0,train,0.9921842150824862,0.994139003506685,0.9931606474174481
1.0,validation,0.8530612244897959,0.865424430641822,0.8591983556012334
1.0,test,0.887988209285188,0.9053343350864012,0.8965773809523809
2.0,train,0.9979233763165422,0.9944116079947461,0.9961643971648813
2.0,validation,0.9406392694063926,0.8530020703933747,0.8946796959826274
2.0,test,0.947452229299363,0.8940646130728775,0.9199845380749904
3.0,train,0.9973700859684163,0.9962331016195185,0.9968012695736267
3.0,validation,0.9067796610169492,0.8861283643892339,0.8963350785340314
3.0,test,0.9387596899224806,0.9098422238918107,0.9240747806180847
4.0,train,0.997918473547268,0.998005030791916,0.9979617502927274
4.0,validation,0.88,0.9109730848861284,0.8952187182095624
4.0,test,0.9316816816816816,0.932381667918858,0.9320315433721367
5.0,train,0.9974004431625466,0.9983891552978204,0.9978945543266909
5.0,validation,0.8950617283950617,0.9006211180124224,0.8978328173374612
5.0,test,0.9452887537993921,0.9346356123215628,0.9399319984888553
6.0,train,0.998020194020986,0.9994176176845966,0.9987184170283372
6.0,validation,0.8924302788844621,0.927536231884058,0.9096446700507614
6.0,test,0.9357729648991785,0.941397445529677,0.9385767790262173
7.0,train,0.9989349581413781,0.9994919643631588,0.9992133836272304
7.0,validation,0.89738430583501,0.9233954451345756,0.9102040816326531
7.0,test,0.9245562130177515,0.9391435011269722,0.9317927692881103
8.0,train,0.9996034303276657,0.9994671821369714,0.9995353015892685
8.0,validation,0.9014373716632443,0.9089026915113871,0.9051546391752577
8.0,test,0.9358490566037736,0.9316303531179564,0.9337349397590361
9.0,train,0.999863672417212,0.9996778310595641,0.9997707431021556
9.0,validation,0.921161825726141,0.9192546583850931,0.9202072538860104
9.0,test,0.9561538461538461,0.9338842975206612,0.9448878753325731
10.0,train,0.99867572618473,0.9998636977559694,0.9992693588933883
10.0,validation,0.918580375782881,0.9109730848861284,0.9147609147609148
10.0,test,0.9502297090352221,0.932381667918858,0.9412210845657945
11.0,train,0.9998760842627014,0.999838915529782,0.9998574995508137
11.0,validation,0.9111570247933884,0.9130434782608695,0.9120992761116856
11.0,test,0.9556235654169855,0.9383921863260706,0.9469294920394238
12.0,train,0.9999132632831086,0.9999256533214379,0.9999194582638918
12.0,validation,0.9090909090909091,0.9109730848861284,0.9100310237849017
12.0,test,0.9468892261001517,0.9376408715251691,0.942242355605889
13.0,train,0.9999628271213322,0.9999752177738126,0.9999690224091892
13.0,validation,0.9222903885480572,0.9337474120082816,0.9279835390946503
13.0,test,0.9465763732129421,0.9451540195341849,0.9458646616541353
14.0,train,1.0,0.9999876088869063,0.999993804405068
14.0,validation,0.9154639175257732,0.9192546583850931,0.9173553719008265
14.0,test,0.9502262443438914,0.946656649135988,0.948438088069251
15.0,train,1.0000123912666352,1.0,1.000006195594932
15.0,validation,0.9246861924686193,0.9151138716356108,0.9198751300728407
15.0,test,0.9513307984790874,0.9398948159278738,0.9455782312925171
16.0,train,0.9999876088869063,0.9999876088869063,0.9999876088869063
16.0,validation,0.9216494845360824,0.9254658385093167,0.9235537190082644
16.0,test,0.9486404833836858,0.9436513899323816,0.9461393596986818
17.0,train,1.0000123912666352,1.0,1.000006195594932
17.0,validation,0.9205020920502092,0.9109730848861284,0.9157127991675339
17.0,test,0.9507202426080363,0.9421487603305785,0.9464150943396226
18.0,train,1.0000123912666352,1.0,1.000006195594932
18.0,validation,0.9184100418410042,0.9089026915113871,0.9136316337148803
18.0,test,0.9506454062262718,0.9406461307287753,0.945619335347432
19.0,train,1.0000123912666352,1.0,1.000006195594932
19.0,validation,0.9147609147609148,0.9109730848861284,0.9128630705394192
19.0,test,0.9500378501135504,0.9429000751314801,0.9464555052790348
20.0,train,1.0,1.0,1.0
20.0,validation,0.9147609147609148,0.9109730848861284,0.9128630705394192
20.0,test,0.9493192133131618,0.9429000751314801,0.9460987561251415
