epoch,sample_set,precision,recall,f1
1.0,train,0.9499328367322017,0.9224475275702597,0.9359884490434365
1.0,validation,0.875,0.8405797101449275,0.8574445617740232
1.0,test,0.9180327868852459,0.8835462058602555,0.9004594180704442
2.0,train,0.9723225030084236,0.9581406379698802,0.9651794779908022
2.0,validation,0.9027484143763214,0.8840579710144928,0.8933054393305438
2.0,test,0.9338461538461539,0.9120961682945155,0.9228430254656026
3.0,train,0.9798149705634988,0.9670342701292541,0.9733826688947242
3.0,validation,0.9205020920502092,0.9109730848861284,0.9157127991675339
3.0,test,0.9532924961715161,0.9353869271224643,0.9442548350398179
4.0,train,0.9842320654790563,0.9696430688960038,0.9768831013678992
4.0,validation,0.930379746835443,0.9130434782608695,0.9216300940438872
4.0,test,0.9588828549262994,0.9286250939143501,0.9435114503816795
5.0,train,0.9758908620486887,0.983991462113127,0.9799244213509684
5.0,validation,0.8926441351888668,0.9296066252587992,0.9107505070993914
5.0,test,0.9318013343217197,0.9444027047332832,0.9380597014925373
6.0,train,0.9837620007111533,0.984228625637377,0.9839952578541791
6.0,validation,0.9296066252587992,0.9296066252587992,0.9296066252587992
6.0,test,0.9496951219512195,0.9361382419233659,0.9428679530836171
7.0,train,0.9946294307196563,0.9882604055496265,0.9914346895074946
7.0,validation,0.9399585921325052,0.9399585921325052,0.9399585921325052
7.0,test,0.957983193277311,0.9421487603305785,0.95
8.0,train,0.9947637748423183,0.9912249496027511,0.9929912093133761
8.0,validation,0.9338842975206612,0.9358178053830227,0.9348500517063081
8.0,test,0.9575113808801214,0.9481592787377912,0.9528123820309552
9.0,train,0.9965435041716328,0.991462113127001,0.9939963145693396
9.0,validation,0.9313929313929314,0.927536231884058,0.9294605809128631
9.0,test,0.9472477064220184,0.9308790383170549,0.9389920424403184
10.0,train,0.9980943306336351,0.9937151666073758,0.9958999346366392
10.0,validation,0.9449152542372882,0.9233954451345756,0.9340314136125655
10.0,test,0.9563552833078101,0.9383921863260706,0.9472885855138415
11.0,train,0.9978599453097134,0.9952567295150005,0.9965566373782949
11.0,validation,0.9449152542372882,0.9233954451345756,0.9340314136125655
11.0,test,0.9555214723926381,0.9361382419233659,0.9457305502846302
12.0,train,0.9947873474706789,0.9957310565635006,0.9952589783098259
12.0,validation,0.9388185654008439,0.9213250517598344,0.9299895506792059
12.0,test,0.9533995416348358,0.9376408715251691,0.9454545454545455
13.0,train,0.9989326375711575,0.9988141823787502,0.9988734064630892
13.0,validation,0.9432773109243697,0.9296066252587992,0.9363920750782064
13.0,test,0.9485238455715367,0.941397445529677,0.9449472096530921
14.0,train,0.9992876647275317,0.9981026918060002,0.9986948267679164
14.0,validation,0.9515789473684211,0.9358178053830227,0.943632567849687
14.0,test,0.9585253456221198,0.9376408715251691,0.9479680972274971
15.0,train,0.9991699276651251,0.9991699276651251,0.9991699276651251
15.0,validation,0.9358178053830227,0.9358178053830227,0.9358178053830227
15.0,test,0.9535060975609756,0.9398948159278738,0.9466515323496028
16.0,train,0.9994068098232294,0.9989327641408752,0.999169730755545
16.0,validation,0.9435146443514645,0.9337474120082816,0.9386056191467221
16.0,test,0.9593246354566385,0.9391435011269722,0.9491268033409264
17.0,train,0.99952556043174,0.9992885094272501,0.9994070208728654
17.0,validation,0.9475890985324947,0.9358178053830227,0.9416666666666667
17.0,test,0.9570222563315426,0.9368895567242674,0.9468488990129081
18.0,train,0.99952556043174,0.9992885094272501,0.9994070208728654
18.0,validation,0.9478079331941545,0.9399585921325052,0.943866943866944
18.0,test,0.9585571757482733,0.9383921863260706,0.9483675018982536
19.0,train,0.999644128113879,0.9992885094272501,0.99946628713752
19.0,validation,0.9457202505219207,0.937888198757764,0.9417879417879417
19.0,test,0.9578220858895705,0.9383921863260706,0.9480075901328272
20.0,train,0.999644128113879,0.9992885094272501,0.99946628713752
20.0,validation,0.9457202505219207,0.937888198757764,0.9417879417879417
20.0,test,0.9577897160399079,0.9376408715251691,0.9476082004555808
