epoch,sample_set,precision,recall,f1
1.0,train,0.9196039603960396,0.9027993779160186,0.911124190700412
1.0,validation,0.8,0.7756653992395437,0.7876447876447876
1.0,test,0.7588168373151308,0.7640320733104238,0.7614155251141551
2.0,train,0.9460493338609682,0.9294971487817522,0.9377002026541151
2.0,validation,0.8373983739837398,0.7832699619771863,0.8094302554027505
2.0,test,0.7995110024449877,0.7491408934707904,0.7735068007096393
3.0,train,0.9678336132282651,0.9709694142042509,0.9693989778094068
3.0,validation,0.8641509433962264,0.870722433460076,0.8674242424242424
3.0,test,0.8264947245017585,0.8075601374570447,0.816917728852839
4.0,train,0.9836942342812418,0.9773198548470711,0.9804966844363542
4.0,validation,0.844106463878327,0.844106463878327,0.844106463878327
4.0,test,0.8351254480286738,0.8006872852233677,0.8175438596491228
5.0,train,0.9772933696639419,0.9761534473820632,0.9767230759255656
5.0,validation,0.8389513108614233,0.8517110266159695,0.8452830188679246
5.0,test,0.8134078212290503,0.8339060710194731,0.823529411764706
6.0,train,0.9891318411178678,0.9907983411093831,0.9899643897701521
6.0,validation,0.8523985239852399,0.8783269961977186,0.8651685393258426
6.0,test,0.8461538461538461,0.8316151202749141,0.8388214904679376
7.0,train,0.9955746453208382,0.9913167444271643,0.9934411325410741
7.0,validation,0.8803088803088803,0.8669201520912547,0.8735632183908046
7.0,test,0.8842482100238663,0.8487972508591065,0.8661601402688487
8.0,train,0.9968827120405247,0.9946863659927424,0.9957833279273435
8.0,validation,0.8712121212121212,0.8745247148288974,0.8728652751423149
8.0,test,0.8653395784543325,0.8465063001145475,0.855819339895773
9.0,train,0.9962283782026271,0.9927423535510628,0.9944823109380072
9.0,validation,0.8631178707224335,0.8631178707224335,0.8631178707224334
9.0,test,0.8713105076741441,0.845360824742268,0.858139534883721
10.0,train,0.9976659751037344,0.9971487817522032,0.997407311381903
10.0,validation,0.8943396226415095,0.9011406844106464,0.8977272727272728
10.0,test,0.8747016706443914,0.8396334478808706,0.8568088836937464
11.0,train,0.9984439834024896,0.997926386728875,0.9981851179673321
11.0,validation,0.8481481481481481,0.870722433460076,0.8592870544090057
11.0,test,0.8450057405281286,0.843069873997709,0.8440366972477065
12.0,train,0.9996109958506224,0.9990927941938829,0.9993518278454757
12.0,validation,0.875,0.8783269961977186,0.8766603415559773
12.0,test,0.8726415094339622,0.847651775486827,0.8599651365485182
13.0,train,0.9997406639004149,0.9992223950233281,0.9994814622763806
13.0,validation,0.8745247148288974,0.8745247148288974,0.8745247148288974
13.0,test,0.872491145218418,0.8465063001145475,0.8593023255813953
14.0,train,0.9989635963207669,0.9993519958527735,0.999157758341432
14.0,validation,0.8492647058823529,0.8783269961977186,0.8635514018691588
14.0,test,0.8682080924855491,0.8602520045819015,0.8642117376294591
15.0,train,0.9992224957885188,0.9993519958527735,0.9992872416250891
15.0,validation,0.8529411764705882,0.8821292775665399,0.8672897196261681
15.0,test,0.8627002288329519,0.86368843069874,0.8631940469376074
16.0,train,0.9997406975236613,0.9993519958527735,0.9995463088988269
16.0,validation,0.8666666666666667,0.8897338403041825,0.878048780487805
16.0,test,0.875,0.849942726231386,0.862289366647298
17.0,train,0.9997407311381903,0.9994815966822188,0.9996111471160077
17.0,validation,0.8634686346863468,0.8897338403041825,0.8764044943820225
17.0,test,0.8728121353558926,0.856815578465063,0.8647398843930636
18.0,train,0.9997407311381903,0.9994815966822188,0.9996111471160077
18.0,validation,0.8597785977859779,0.8859315589353612,0.8726591760299626
18.0,test,0.8770491803278688,0.8579610538373424,0.8674001158077591
19.0,train,0.9996111471160077,0.9994815966822188,0.9995463677013803
19.0,validation,0.8634686346863468,0.8897338403041825,0.8764044943820225
19.0,test,0.8808411214953271,0.86368843069874,0.8721804511278196
20.0,train,0.9996111471160077,0.9994815966822188,0.9995463677013803
20.0,validation,0.8634686346863468,0.8897338403041825,0.8764044943820225
20.0,test,0.8808411214953271,0.86368843069874,0.8721804511278196
