epoch,sample_set,precision,recall,f1
1.0,validation,0.14423076923076922,0.15915119363395225,0.15132408575031525
1.0,test,0.1890547263681592,0.18410852713178294,0.18654884634266075
2.0,validation,0.2058252427184466,0.28116710875331563,0.23766816143497757
2.0,test,0.25903083700440527,0.28488372093023256,0.2713428703276419
3.0,validation,0.23880597014925373,0.2546419098143236,0.24646983311938384
3.0,test,0.2755004766444233,0.2800387596899225,0.27775108121095626
4.0,validation,0.23672566371681417,0.2838196286472148,0.25814234016887816
4.0,test,0.2670753064798599,0.29554263565891475,0.28058877644894203
5.0,validation,0.2292576419213974,0.27851458885941643,0.251497005988024
5.0,test,0.26449912126537783,0.2916666666666667,0.2774193548387097
6.0,validation,0.2296137339055794,0.2838196286472148,0.2538552787663108
6.0,test,0.2769485903814262,0.3236434108527132,0.29848078641644327
7.0,validation,0.21822033898305085,0.27320954907161804,0.24263839811542992
7.0,test,0.26559865092748736,0.30523255813953487,0.28403967538322816
8.0,validation,0.24178403755868544,0.27320954907161804,0.25653798256537985
8.0,test,0.2727272727272727,0.2877906976744186,0.28005657708628
9.0,validation,0.25806451612903225,0.29708222811671087,0.2762022194821208
9.0,test,0.2670250896057348,0.28875968992248063,0.2774674115456239
10.0,validation,0.23191489361702128,0.2891246684350133,0.25737898465171194
10.0,test,0.2663829787234043,0.30329457364341084,0.28364295423652014
11.0,validation,0.23529411764705882,0.29708222811671087,0.2626025791324736
11.0,test,0.27378964941569284,0.3178294573643411,0.29417040358744395
12.0,validation,0.2356828193832599,0.2838196286472148,0.2575210589651023
12.0,test,0.2747826086956522,0.3062015503875969,0.2896425297891842
13.0,validation,0.23029045643153526,0.29442970822281167,0.2584400465657742
13.0,test,0.26987951807228916,0.32558139534883723,0.2951251646903821
14.0,validation,0.23376623376623376,0.2864721485411141,0.2574493444576877
14.0,test,0.2691337258200168,0.31007751937984496,0.2881584871679424
15.0,validation,0.24242424242424243,0.29708222811671087,0.26698450536352797
15.0,test,0.27017841971113,0.3081395348837209,0.28791308284291534
16.0,validation,0.24203821656050956,0.30238726790450926,0.2688679245283019
16.0,test,0.2639467110741049,0.3071705426356589,0.283922973578146
17.0,validation,0.23949579831932774,0.30238726790450926,0.2672919109026964
17.0,test,0.26411960132890366,0.3081395348837209,0.28443649373881935
18.0,validation,0.2404255319148936,0.29973474801061006,0.26682408500590316
18.0,test,0.2679022746419545,0.3081395348837209,0.28661559260928343
19.0,validation,0.24301075268817204,0.29973474801061006,0.26840855106888356
19.0,test,0.2660472972972973,0.30523255813953487,0.28429602888086647
20.0,validation,0.24301075268817204,0.29973474801061006,0.26840855106888356
20.0,test,0.2660472972972973,0.30523255813953487,0.28429602888086647
