epoch,sample_set,precision,recall,f1
1.0,validation,0.3579676674364896,0.41114058355437666,0.3827160493827161
1.0,test,0.4727592267135325,0.5213178294573644,0.49585253456221196
2.0,validation,0.3438202247191011,0.40583554376657827,0.3722627737226277
2.0,test,0.4323181049069374,0.4951550387596899,0.46160794941282746
3.0,validation,0.34306569343065696,0.3740053050397878,0.35786802030456855
3.0,test,0.4446444644464446,0.4786821705426357,0.46103593093793743
4.0,validation,0.3297644539614561,0.40848806366047746,0.3649289099526067
4.0,test,0.4272875816993464,0.5067829457364341,0.4636524822695035
5.0,validation,0.3355408388520971,0.40318302387267907,0.3662650602409639
5.0,test,0.43183673469387757,0.5125968992248062,0.4687638458130261
6.0,validation,0.32461873638344224,0.3952254641909814,0.35645933014354064
6.0,test,0.43333333333333335,0.5164728682170543,0.471264367816092
7.0,validation,0.3340909090909091,0.38992042440318303,0.35985312117503065
7.0,test,0.42640874684608915,0.49127906976744184,0.45655110310670866
8.0,validation,0.34210526315789475,0.41379310344827586,0.37454981992797115
8.0,test,0.4318555008210181,0.5096899224806202,0.4675555555555556
9.0,validation,0.3210633946830266,0.41644562334217505,0.3625866050808314
9.0,test,0.4214618973561431,0.5251937984496124,0.4676445211389129
10.0,validation,0.32119914346895073,0.3978779840848806,0.35545023696682465
10.0,test,0.4318555008210181,0.5096899224806202,0.4675555555555556
11.0,validation,0.3170731707317073,0.41379310344827586,0.35903337169159955
11.0,test,0.41602465331278893,0.5232558139534884,0.46351931330472107
12.0,validation,0.31392931392931395,0.4005305039787798,0.351981351981352
12.0,test,0.4260731319554849,0.5193798449612403,0.4681222707423581
13.0,validation,0.32264957264957267,0.4005305039787798,0.35739644970414197
13.0,test,0.4274193548387097,0.5135658914728682,0.4665492957746479
14.0,validation,0.31910569105691056,0.41644562334217505,0.3613348676639816
14.0,test,0.4230769230769231,0.5222868217054264,0.4674761491760624
15.0,validation,0.3144016227180527,0.41114058355437666,0.3563218390804598
15.0,test,0.4224137931034483,0.5222868217054264,0.46707105719237435
16.0,validation,0.31837606837606836,0.3952254641909814,0.3526627218934911
16.0,test,0.42709163346613543,0.5193798449612403,0.46873633581110624
17.0,validation,0.31645569620253167,0.3978779840848806,0.3525264394829612
17.0,test,0.4254980079681275,0.5174418604651163,0.4669873196327066
18.0,validation,0.3199152542372881,0.4005305039787798,0.3557126030624264
18.0,test,0.42585249801744646,0.5203488372093024,0.46838203227213254
19.0,validation,0.3233404710920771,0.4005305039787798,0.35781990521327006
19.0,test,0.42641209228321403,0.5193798449612403,0.4683267802533858
20.0,validation,0.3233404710920771,0.4005305039787798,0.35781990521327006
20.0,test,0.42641209228321403,0.5193798449612403,0.4683267802533858
