epoch,sample_set,precision,recall,f1
1.0,validation,0.7966101694915254,0.7480106100795756,0.7715458276333789
1.0,test,0.7689030883919062,0.6996124031007752,0.7326230339928971
2.0,validation,0.8607242339832869,0.8196286472148541,0.8396739130434783
2.0,test,0.9006147540983607,0.8517441860465116,0.8754980079681275
3.0,validation,0.8820375335120644,0.8726790450928382,0.8773333333333334
3.0,test,0.9146825396825397,0.8934108527131783,0.9039215686274509
4.0,validation,0.9162011173184358,0.870026525198939,0.8925170068027212
4.0,test,0.9334006054490414,0.8963178294573644,0.9144834404349975
5.0,validation,0.9189944134078212,0.8726790450928382,0.8952380952380952
5.0,test,0.9404641775983855,0.9031007751937985,0.9214038556599111
6.0,validation,0.9173553719008265,0.883289124668435,0.9000000000000001
6.0,test,0.9483805668016194,0.9079457364341085,0.9277227722772278
7.0,validation,0.930939226519337,0.8938992042440318,0.912043301759134
7.0,test,0.9431472081218274,0.9001937984496124,0.9211700545364402
8.0,validation,0.9340659340659341,0.9018567639257294,0.9176788124156545
8.0,test,0.9421157684630739,0.9147286821705426,0.928220255653884
9.0,validation,0.93646408839779,0.8992042440318302,0.9174560216508795
9.0,test,0.9529652351738241,0.9031007751937985,0.9273631840796022
10.0,validation,0.9398907103825137,0.9124668435013262,0.9259757738896367
10.0,test,0.9478957915831663,0.9166666666666666,0.9320197044334975
11.0,validation,0.9069148936170213,0.9045092838196287,0.905710491367862
11.0,test,0.9393939393939394,0.9312015503875969,0.9352798053527981
12.0,validation,0.9337016574585635,0.896551724137931,0.9147496617050068
12.0,test,0.946,0.9166666666666666,0.9311023622047244
13.0,validation,0.9272237196765498,0.9124668435013262,0.9197860962566845
13.0,test,0.9463753723932473,0.9234496124031008,0.9347719470328594
14.0,validation,0.9139784946236559,0.9018567639257294,0.9078771695594126
14.0,test,0.9455984174085065,0.9263565891472868,0.9358786098874204
15.0,validation,0.9315068493150684,0.9018567639257294,0.9164420485175202
15.0,test,0.9530938123752495,0.9253875968992248,0.9390363815142577
16.0,validation,0.9260273972602739,0.896551724137931,0.9110512129380054
16.0,test,0.9481555333998006,0.9215116279069767,0.9346437346437346
17.0,validation,0.9243243243243243,0.9071618037135278,0.9156626506024095
17.0,test,0.9441117764471058,0.9166666666666666,0.9301868239921337
18.0,validation,0.9342465753424658,0.9045092838196287,0.9191374663072777
18.0,test,0.949050949050949,0.9205426356589147,0.9345794392523364
19.0,validation,0.9366391184573003,0.9018567639257294,0.918918918918919
19.0,test,0.95,0.9205426356589147,0.93503937007874
20.0,validation,0.9366391184573003,0.9018567639257294,0.918918918918919
20.0,test,0.95,0.9205426356589147,0.93503937007874
