epoch,sample_set,precision,recall,f1
1.0,validation,0.326133909287257,0.4005305039787798,0.3595238095238095
1.0,test,0.4632768361581921,0.47674418604651164,0.4699140401146132
2.0,validation,0.344578313253012,0.3793103448275862,0.3611111111111111
2.0,test,0.44919786096256686,0.4883720930232558,0.467966573816156
3.0,validation,0.3317422434367542,0.3687002652519894,0.3492462311557789
3.0,test,0.3978685612788632,0.43410852713178294,0.4151992585727526
4.0,validation,0.3225806451612903,0.3713527851458886,0.34525277435265106
4.0,test,0.39841688654353563,0.438953488372093,0.4177040110650069
5.0,validation,0.3085339168490153,0.3740053050397878,0.3381294964028777
5.0,test,0.3786644951140065,0.45058139534883723,0.4115044247787611
6.0,validation,0.29067245119305857,0.35543766578249336,0.31980906921241053
6.0,test,0.3899745114698386,0.44476744186046513,0.4155726573110004
7.0,validation,0.2982832618025751,0.3687002652519894,0.32977461447212336
7.0,test,0.38706968933669184,0.44670542635658916,0.41475483580746736
8.0,validation,0.3239130434782609,0.3952254641909814,0.3560334528076464
8.0,test,0.39222316145393066,0.4496124031007752,0.41896162528216707
9.0,validation,0.29637526652452023,0.3687002652519894,0.3286052009456265
9.0,test,0.39097744360902253,0.45348837209302323,0.41991924629878874
10.0,validation,0.296137339055794,0.3660477453580902,0.3274021352313168
10.0,test,0.3803986710963455,0.4437984496124031,0.4096601073345259
11.0,validation,0.30151843817787416,0.3687002652519894,0.3317422434367542
11.0,test,0.3831385642737897,0.44476744186046513,0.4116591928251121
12.0,validation,0.2958057395143488,0.35543766578249336,0.32289156626506027
12.0,test,0.38822525597269625,0.44089147286821706,0.4128856624319419
13.0,validation,0.2918454935622318,0.36074270557029176,0.32265717674970346
13.0,test,0.3894912427022519,0.45251937984496127,0.418646346929628
14.0,validation,0.2878787878787879,0.35278514588859416,0.3170441001191895
14.0,test,0.3853989813242784,0.43992248062015504,0.4108597285067873
15.0,validation,0.29540481400437635,0.35809018567639256,0.3237410071942446
15.0,test,0.3864406779661017,0.4418604651162791,0.41229656419529837
16.0,validation,0.29605263157894735,0.35809018567639256,0.32412965186074433
16.0,test,0.3871244635193133,0.437015503875969,0.4105598543468366
17.0,validation,0.2967032967032967,0.35809018567639256,0.3245192307692308
17.0,test,0.3853989813242784,0.43992248062015504,0.4108597285067873
18.0,validation,0.3006535947712418,0.3660477453580902,0.33014354066985646
18.0,test,0.3898305084745763,0.44573643410852715,0.4159132007233273
19.0,validation,0.30196936542669583,0.3660477453580902,0.33093525179856115
19.0,test,0.3883248730964467,0.44476744186046513,0.41463414634146345
20.0,validation,0.30196936542669583,0.3660477453580902,0.33093525179856115
20.0,test,0.3883248730964467,0.44476744186046513,0.41463414634146345
