epoch,sample_set,precision,recall,f1
1.0,validation,0.7638190954773869,0.7638190954773869,0.7638190954773869
1.0,test,0.7445141065830722,0.7445141065830722,0.7445141065830722
2.0,validation,0.8090452261306532,0.8090452261306532,0.8090452261306531
2.0,test,0.7492163009404389,0.7492163009404389,0.7492163009404389
3.0,validation,0.8140703517587939,0.8140703517587939,0.8140703517587939
3.0,test,0.7492163009404389,0.7492163009404389,0.7492163009404389
4.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
4.0,test,0.7539184952978056,0.7539184952978056,0.7539184952978057
5.0,validation,0.7738693467336684,0.7738693467336684,0.7738693467336684
5.0,test,0.7884012539184952,0.7884012539184952,0.7884012539184952
6.0,validation,0.7437185929648241,0.7437185929648241,0.7437185929648241
6.0,test,0.7664576802507836,0.7664576802507836,0.7664576802507838
7.0,validation,0.7638190954773869,0.7638190954773869,0.7638190954773869
7.0,test,0.7601880877742947,0.7601880877742947,0.7601880877742947
8.0,validation,0.7939698492462312,0.7939698492462312,0.7939698492462312
8.0,test,0.7946708463949843,0.7946708463949843,0.7946708463949843
9.0,validation,0.7437185929648241,0.7437185929648241,0.7437185929648241
9.0,test,0.7789968652037618,0.7789968652037618,0.7789968652037618
10.0,validation,0.7788944723618091,0.7788944723618091,0.7788944723618091
10.0,test,0.7821316614420063,0.7821316614420063,0.7821316614420064
11.0,validation,0.7738693467336684,0.7738693467336684,0.7738693467336684
11.0,test,0.7758620689655172,0.7758620689655172,0.7758620689655173
12.0,validation,0.7688442211055276,0.7688442211055276,0.7688442211055276
12.0,test,0.7774294670846394,0.7774294670846394,0.7774294670846394
13.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
13.0,test,0.774294670846395,0.774294670846395,0.774294670846395
14.0,validation,0.7839195979899497,0.7839195979899497,0.7839195979899497
14.0,test,0.7774294670846394,0.7774294670846394,0.7774294670846394
15.0,validation,0.7839195979899497,0.7839195979899497,0.7839195979899497
15.0,test,0.7774294670846394,0.7774294670846394,0.7774294670846394
16.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
16.0,test,0.7758620689655172,0.7758620689655172,0.7758620689655173
17.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
17.0,test,0.7774294670846394,0.7774294670846394,0.7774294670846394
18.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
18.0,test,0.7789968652037618,0.7789968652037618,0.7789968652037618
19.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
19.0,test,0.7789968652037618,0.7789968652037618,0.7789968652037618
20.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
20.0,test,0.780564263322884,0.780564263322884,0.780564263322884
