epoch,sample_set,precision,recall,f1
1.0,validation,0.8241206030150754,0.8241206030150754,0.8241206030150754
1.0,test,0.7758620689655172,0.7758620689655172,0.7758620689655173
2.0,validation,0.7989949748743719,0.7989949748743719,0.7989949748743719
2.0,test,0.7946708463949843,0.7946708463949843,0.7946708463949843
3.0,validation,0.8442211055276382,0.8442211055276382,0.8442211055276382
3.0,test,0.7962382445141066,0.7962382445141066,0.7962382445141066
4.0,validation,0.8241206030150754,0.8241206030150754,0.8241206030150754
4.0,test,0.7899686520376176,0.7899686520376176,0.7899686520376176
5.0,validation,0.8190954773869347,0.8190954773869347,0.8190954773869347
5.0,test,0.7978056426332288,0.7978056426332288,0.7978056426332288
6.0,validation,0.8341708542713567,0.8341708542713567,0.8341708542713568
6.0,test,0.8040752351097179,0.8040752351097179,0.804075235109718
7.0,validation,0.8341708542713567,0.8341708542713567,0.8341708542713568
7.0,test,0.8025078369905956,0.8025078369905956,0.8025078369905956
8.0,validation,0.8140703517587939,0.8140703517587939,0.8140703517587939
8.0,test,0.7931034482758621,0.7931034482758621,0.7931034482758621
9.0,validation,0.8391959798994975,0.8391959798994975,0.8391959798994976
9.0,test,0.7931034482758621,0.7931034482758621,0.7931034482758621
10.0,validation,0.8190954773869347,0.8190954773869347,0.8190954773869347
10.0,test,0.7915360501567398,0.7915360501567398,0.7915360501567398
11.0,validation,0.8391959798994975,0.8391959798994975,0.8391959798994976
11.0,test,0.7978056426332288,0.7978056426332288,0.7978056426332288
12.0,validation,0.8291457286432161,0.8291457286432161,0.8291457286432161
12.0,test,0.7931034482758621,0.7931034482758621,0.7931034482758621
13.0,validation,0.8291457286432161,0.8291457286432161,0.8291457286432161
13.0,test,0.799373040752351,0.799373040752351,0.799373040752351
14.0,validation,0.8341708542713567,0.8341708542713567,0.8341708542713568
14.0,test,0.799373040752351,0.799373040752351,0.799373040752351
15.0,validation,0.8442211055276382,0.8442211055276382,0.8442211055276382
15.0,test,0.799373040752351,0.799373040752351,0.799373040752351
16.0,validation,0.8241206030150754,0.8241206030150754,0.8241206030150754
16.0,test,0.799373040752351,0.799373040752351,0.799373040752351
17.0,validation,0.8391959798994975,0.8391959798994975,0.8391959798994976
17.0,test,0.7978056426332288,0.7978056426332288,0.7978056426332288
18.0,validation,0.8341708542713567,0.8341708542713567,0.8341708542713568
18.0,test,0.7978056426332288,0.7978056426332288,0.7978056426332288
19.0,validation,0.8291457286432161,0.8291457286432161,0.8291457286432161
19.0,test,0.799373040752351,0.799373040752351,0.799373040752351
20.0,validation,0.8291457286432161,0.8291457286432161,0.8291457286432161
20.0,test,0.799373040752351,0.799373040752351,0.799373040752351
