epoch,sample_set,precision,recall,f1
1.0,validation,0.5922330097087378,0.505175983436853,0.5452513966480447
1.0,test,0.651541095890411,0.5717505634861006,0.6090436174469788
2.0,validation,0.6901709401709402,0.6687370600414079,0.6792849631966351
2.0,test,0.7321565617805065,0.7167543200601052,0.7243735763097949
3.0,validation,0.7151639344262295,0.722567287784679,0.7188465499485066
3.0,test,0.7524528301886793,0.749060856498873,0.7507530120481928
4.0,validation,0.744136460554371,0.722567287784679,0.7331932773109243
4.0,test,0.7802621434078643,0.7603305785123967,0.7701674277016742
5.0,validation,0.7228915662650602,0.7453416149068323,0.7339449541284404
5.0,test,0.7489239598278336,0.7843726521412472,0.7662385321100917
6.0,validation,0.7494866529774127,0.7556935817805382,0.7525773195876287
6.0,test,0.7820224719101123,0.7843726521412472,0.7831957989497375
7.0,validation,0.7453416149068323,0.7453416149068323,0.7453416149068323
7.0,test,0.7826415094339623,0.7791134485349361,0.7808734939759036
8.0,validation,0.7634854771784232,0.7619047619047619,0.7626943005181347
8.0,test,0.7959183673469388,0.7911344853493614,0.7935192162773173
9.0,validation,0.7464788732394366,0.7681159420289855,0.7571428571428571
9.0,test,0.7889634601043997,0.7948910593538693,0.7919161676646707
10.0,validation,0.7571428571428571,0.7681159420289855,0.762589928057554
10.0,test,0.8106686701728024,0.8106686701728024,0.8106686701728024
11.0,validation,0.7633744855967078,0.7681159420289855,0.7657378740970073
11.0,test,0.7931034482758621,0.7948910593538693,0.7939962476547844
12.0,validation,0.7634854771784232,0.7619047619047619,0.7626943005181347
12.0,test,0.8067669172932331,0.8061607813673929,0.8064637354378054
13.0,validation,0.7520161290322581,0.772256728778468,0.7620020429009193
13.0,test,0.799405646359584,0.8084147257700977,0.8038849458348899
14.0,validation,0.7520833333333333,0.7474120082815735,0.7497403946002076
14.0,test,0.8138297872340425,0.8046581517655897,0.809217982621836
15.0,validation,0.7546391752577319,0.7577639751552795,0.756198347107438
15.0,test,0.8073739653875094,0.8061607813673929,0.8067669172932329
16.0,validation,0.7459349593495935,0.7598343685300207,0.7528205128205129
16.0,test,0.804185351270553,0.8084147257700977,0.8062944923192206
17.0,validation,0.7515400410677618,0.7577639751552795,0.7546391752577319
17.0,test,0.8067669172932331,0.8061607813673929,0.8064637354378054
18.0,validation,0.75,0.7577639751552795,0.7538619979402679
18.0,test,0.8046581517655897,0.8046581517655897,0.8046581517655897
19.0,validation,0.7520491803278688,0.7598343685300207,0.7559217301750772
19.0,test,0.8035982008995503,0.8054094665664914,0.8045028142589118
20.0,validation,0.7520491803278688,0.7598343685300207,0.7559217301750772
20.0,test,0.8029962546816479,0.8054094665664914,0.8042010502625656
