epoch,sample_set,precision,recall,f1
1.0,validation,0.8392434988179669,0.7349896480331263,0.783664459161148
1.0,test,0.8294701986754967,0.7528174305033809,0.7892871209137455
2.0,validation,0.8621399176954733,0.8674948240165632,0.8648090815273478
2.0,test,0.9095127610208816,0.8835462058602555,0.896341463414634
3.0,validation,0.8847736625514403,0.8902691511387164,0.8875128998968009
3.0,test,0.933641975308642,0.9090909090909091,0.9212028930338789
4.0,validation,0.9245283018867925,0.9130434782608695,0.91875
4.0,test,0.9442748091603054,0.9293764087152517,0.9367663763725861
5.0,validation,0.8906560636182903,0.927536231884058,0.9087221095334687
5.0,test,0.9261194029850747,0.932381667918858,0.9292399850243355
6.0,validation,0.9103869653767821,0.9254658385093167,0.917864476386037
6.0,test,0.9406392694063926,0.9286250939143501,0.934593572778828
7.0,validation,0.9163265306122449,0.9296066252587992,0.9229188078108942
7.0,test,0.9538461538461539,0.9316303531179564,0.9426073736221969
8.0,validation,0.9238900634249472,0.9047619047619048,0.9142259414225942
8.0,test,0.9534522885958107,0.9233658903080391,0.9381679389312977
9.0,validation,0.9148073022312373,0.9337474120082816,0.9241803278688524
9.0,test,0.953184957789716,0.9331329827197595,0.9430523917995444
10.0,validation,0.91,0.9420289855072463,0.925737538148525
10.0,test,0.9453302961275627,0.9353869271224643,0.9403323262839879
11.0,validation,0.924643584521385,0.9399585921325052,0.9322381930184805
11.0,test,0.9468488990129081,0.9368895567242674,0.9418429003021147
12.0,validation,0.9,0.9316770186335404,0.9155645981688708
12.0,test,0.9380196523053665,0.932381667918858,0.9351921627731725
13.0,validation,0.9372384937238494,0.927536231884058,0.9323621227887618
13.0,test,0.9539524174980814,0.9338842975206612,0.9438116932422173
14.0,validation,0.9373695198329853,0.9296066252587992,0.9334719334719335
14.0,test,0.9575289575289575,0.9316303531179564,0.9444021325209444
15.0,validation,0.926829268292683,0.9440993788819876,0.9353846153846155
15.0,test,0.9440242057488654,0.9376408715251691,0.9408217112702602
16.0,validation,0.9216867469879518,0.9503105590062112,0.9357798165137615
16.0,test,0.9420180722891566,0.9398948159278738,0.9409552463332079
17.0,validation,0.9266802443991853,0.9420289855072463,0.9342915811088295
17.0,test,0.9533282325937261,0.9361382419233659,0.9446550416982563
18.0,validation,0.9247967479674797,0.9420289855072463,0.9333333333333332
18.0,test,0.9513307984790874,0.9398948159278738,0.9455782312925171
19.0,validation,0.9247967479674797,0.9420289855072463,0.9333333333333332
19.0,test,0.9485627836611196,0.9421487603305785,0.9453448925744441
20.0,validation,0.9247967479674797,0.9420289855072463,0.9333333333333332
20.0,test,0.9514047076689446,0.941397445529677,0.9463746223564956
