epoch,sample_set,precision,recall,f1
1.0,validation,0.7640449438202247,0.7039337474120083,0.7327586206896552
1.0,test,0.5979929161747344,0.7610818933132982,0.6697520661157024
2.0,validation,0.9125560538116592,0.8426501035196687,0.8762109795479011
2.0,test,0.9486970684039088,0.8752817430503381,0.9105119187182493
3.0,validation,0.9155844155844156,0.8757763975155279,0.8952380952380953
3.0,test,0.9585365853658536,0.8858001502629602,0.9207340882467786
4.0,validation,0.9170212765957447,0.8923395445134575,0.9045120671563484
4.0,test,0.9589147286821705,0.9293764087152517,0.9439145364364746
5.0,validation,0.9163179916317992,0.906832298136646,0.9115504682622269
5.0,test,0.9536474164133738,0.9429000751314801,0.9482432942954288
6.0,validation,0.937365010799136,0.8985507246376812,0.9175475687103594
6.0,test,0.9678935003915426,0.9286250939143501,0.9478527607361963
7.0,validation,0.9120654396728016,0.9233954451345756,0.9176954732510288
7.0,test,0.9480812641083521,0.946656649135988,0.9473684210526315
8.0,validation,0.9330543933054394,0.9233954451345756,0.9281997918834547
8.0,test,0.9565217391304348,0.9421487603305785,0.9492808478425435
9.0,validation,0.9066937119675457,0.9254658385093167,0.915983606557377
9.0,test,0.9386094674556213,0.9534184823441022,0.9459560193812896
10.0,validation,0.9166666666666666,0.9109730848861284,0.9138110072689511
10.0,test,0.9455370650529501,0.9391435011269722,0.9423294383716547
11.0,validation,0.9139344262295082,0.9233954451345756,0.9186405767250257
11.0,test,0.9503386004514672,0.9489105935386927,0.9496240601503759
12.0,validation,0.921161825726141,0.9192546583850931,0.9202072538860104
12.0,test,0.9519158527422991,0.9519158527422991,0.9519158527422991
13.0,validation,0.9216494845360824,0.9254658385093167,0.9235537190082644
13.0,test,0.9491017964071856,0.9526671675432006,0.9508811398575178
14.0,validation,0.9118852459016393,0.9213250517598344,0.9165808444902163
14.0,test,0.9350553505535055,0.9519158527422991,0.9434102755026061
15.0,validation,0.9192546583850931,0.9192546583850931,0.9192546583850931
15.0,test,0.9496619083395943,0.9496619083395943,0.9496619083395943
16.0,validation,0.9197530864197531,0.9254658385093167,0.9226006191950464
16.0,test,0.9490254872563718,0.9511645379413974,0.9500938086303939
17.0,validation,0.9194214876033058,0.9213250517598344,0.9203722854188211
17.0,test,0.9497374343585896,0.9511645379413974,0.9504504504504504
18.0,validation,0.9194214876033058,0.9213250517598344,0.9203722854188211
18.0,test,0.9512378094523631,0.9526671675432006,0.9519519519519518
19.0,validation,0.9194214876033058,0.9213250517598344,0.9203722854188211
19.0,test,0.949812734082397,0.9526671675432006,0.9512378094523631
20.0,validation,0.9194214876033058,0.9213250517598344,0.9203722854188211
20.0,test,0.949812734082397,0.9526671675432006,0.9512378094523631
