epoch,sample_set,precision,recall,f1
1.0,validation,0.3130081300813008,0.29277566539923955,0.3025540275049116
1.0,test,0.2775229357798165,0.27720504009163804,0.27736389684813756
2.0,validation,0.3372093023255814,0.33079847908745247,0.33397312859884837
2.0,test,0.35119726339794755,0.3528064146620848,0.35200000000000004
3.0,validation,0.32131147540983607,0.3726235741444867,0.34507042253521125
3.0,test,0.37554112554112556,0.3974799541809851,0.3861992209237618
4.0,validation,0.3554817275747508,0.4068441064638783,0.3794326241134751
4.0,test,0.35247524752475246,0.40778923253150057,0.3781200212426978
5.0,validation,0.3311036789297659,0.376425855513308,0.3523131672597865
5.0,test,0.3295668549905838,0.4009163802978236,0.36175710594315247
6.0,validation,0.3299319727891156,0.3688212927756654,0.348294434470377
6.0,test,0.32662835249042144,0.39060710194730813,0.35576421491914456
7.0,validation,0.3442622950819672,0.39923954372623577,0.36971830985915494
7.0,test,0.3273415326395459,0.3963344788087056,0.35854922279792745
8.0,validation,0.3258426966292135,0.33079847908745247,0.32830188679245287
8.0,test,0.3123092573753815,0.3516609392898053,0.33081896551724144
9.0,validation,0.32323232323232326,0.3650190114068441,0.34285714285714286
9.0,test,0.30776699029126214,0.3631156930126002,0.3331581713084603
10.0,validation,0.33112582781456956,0.38022813688212925,0.35398230088495575
10.0,test,0.3219047619047619,0.38717067583046966,0.3515340613624546
11.0,validation,0.33225806451612905,0.3916349809885932,0.35951134380453753
11.0,test,0.3302063789868668,0.4032073310423826,0.36307374935533776
12.0,validation,0.3388704318936877,0.38783269961977185,0.3617021276595745
12.0,test,0.3222748815165877,0.38946162657502864,0.3526970954356846
13.0,validation,0.3248407643312102,0.38783269961977185,0.35355285961871746
13.0,test,0.32577903682719545,0.3951890034364261,0.3571428571428571
14.0,validation,0.31715210355987056,0.3726235741444867,0.34265734265734266
14.0,test,0.3226433430515063,0.38029782359679265,0.3491062039957939
15.0,validation,0.3,0.35361216730038025,0.32460732984293195
15.0,test,0.31709646609360076,0.38029782359679265,0.3458333333333333
16.0,validation,0.2974683544303797,0.3574144486692015,0.3246977547495682
16.0,test,0.3165876777251185,0.38258877434135163,0.34647302904564314
17.0,validation,0.2961783439490446,0.35361216730038025,0.3223570190641248
17.0,test,0.31805157593123207,0.38144329896907214,0.34687499999999993
18.0,validation,0.2977346278317152,0.34980988593155893,0.3216783216783217
18.0,test,0.3153846153846154,0.3757159221076747,0.34291688447464713
19.0,validation,0.3054662379421222,0.3612167300380228,0.3310104529616725
19.0,test,0.3173076923076923,0.37800687285223367,0.34500784108729743
20.0,validation,0.3054662379421222,0.3612167300380228,0.3310104529616725
20.0,test,0.3176130895091434,0.37800687285223367,0.3451882845188285
