epoch,sample_set,precision,recall,f1
1.0,validation,0.9171270718232044,0.9171270718232044,0.9171270718232044
1.0,test,0.9056910569105691,0.9056910569105691,0.9056910569105691
2.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
2.0,test,0.9121951219512195,0.9121951219512195,0.9121951219512195
3.0,validation,0.9060773480662984,0.9060773480662984,0.9060773480662984
3.0,test,0.9138211382113821,0.9138211382113821,0.9138211382113821
4.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
4.0,test,0.9186991869918699,0.9186991869918699,0.91869918699187
5.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
5.0,test,0.9170731707317074,0.9170731707317074,0.9170731707317074
6.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
6.0,test,0.926829268292683,0.926829268292683,0.926829268292683
7.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
7.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
8.0,validation,0.9116022099447514,0.9116022099447514,0.9116022099447514
8.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
9.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
9.0,test,0.926829268292683,0.926829268292683,0.926829268292683
10.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
10.0,test,0.9365853658536586,0.9365853658536586,0.9365853658536586
11.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
11.0,test,0.9333333333333333,0.9333333333333333,0.9333333333333333
12.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
12.0,test,0.9414634146341463,0.9414634146341463,0.9414634146341464
13.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
13.0,test,0.9365853658536586,0.9365853658536586,0.9365853658536586
14.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
14.0,test,0.9333333333333333,0.9333333333333333,0.9333333333333333
15.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
15.0,test,0.9349593495934959,0.9349593495934959,0.9349593495934959
16.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
16.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
17.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
17.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
18.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
18.0,test,0.9333333333333333,0.9333333333333333,0.9333333333333333
19.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
19.0,test,0.9333333333333333,0.9333333333333333,0.9333333333333333
20.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
20.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
