epoch,sample_set,precision,recall,f1
1.0,validation,0.8729281767955801,0.8729281767955801,0.8729281767955801
1.0,test,0.8944805194805194,0.8959349593495934,0.8952071486596264
2.0,validation,0.850828729281768,0.850828729281768,0.850828729281768
2.0,test,0.9024390243902439,0.9024390243902439,0.9024390243902439
3.0,validation,0.861878453038674,0.861878453038674,0.861878453038674
3.0,test,0.8845528455284553,0.8845528455284553,0.8845528455284553
4.0,validation,0.8397790055248618,0.8397790055248618,0.8397790055248618
4.0,test,0.8796747967479674,0.8796747967479674,0.8796747967479673
5.0,validation,0.8342541436464088,0.8342541436464088,0.8342541436464088
5.0,test,0.8731707317073171,0.8731707317073171,0.8731707317073171
6.0,validation,0.850828729281768,0.850828729281768,0.850828729281768
6.0,test,0.8780487804878049,0.8780487804878049,0.8780487804878049
7.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
7.0,test,0.865040650406504,0.865040650406504,0.865040650406504
8.0,validation,0.8453038674033149,0.8453038674033149,0.8453038674033148
8.0,test,0.8780487804878049,0.8780487804878049,0.8780487804878049
9.0,validation,0.8121546961325967,0.8121546961325967,0.8121546961325967
9.0,test,0.8585365853658536,0.8585365853658536,0.8585365853658536
10.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
10.0,test,0.8634146341463415,0.8634146341463415,0.8634146341463415
11.0,validation,0.8397790055248618,0.8397790055248618,0.8397790055248618
11.0,test,0.8861788617886179,0.8861788617886179,0.8861788617886179
12.0,validation,0.8121546961325967,0.8121546961325967,0.8121546961325967
12.0,test,0.8569105691056911,0.8569105691056911,0.8569105691056911
13.0,validation,0.8066298342541437,0.8066298342541437,0.8066298342541437
13.0,test,0.865040650406504,0.865040650406504,0.865040650406504
14.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
14.0,test,0.865040650406504,0.865040650406504,0.865040650406504
15.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
15.0,test,0.8699186991869918,0.8699186991869918,0.8699186991869918
16.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
16.0,test,0.8634146341463415,0.8634146341463415,0.8634146341463415
17.0,validation,0.8232044198895028,0.8232044198895028,0.8232044198895029
17.0,test,0.8666666666666667,0.8666666666666667,0.8666666666666667
18.0,validation,0.8287292817679558,0.8287292817679558,0.8287292817679558
18.0,test,0.8666666666666667,0.8666666666666667,0.8666666666666667
19.0,validation,0.8287292817679558,0.8287292817679558,0.8287292817679558
19.0,test,0.8666666666666667,0.8666666666666667,0.8666666666666667
20.0,validation,0.8287292817679558,0.8287292817679558,0.8287292817679558
20.0,test,0.8666666666666667,0.8666666666666667,0.8666666666666667
