epoch,sample_set,precision,recall,f1
1.0,validation,0.9060773480662984,0.9060773480662984,0.9060773480662984
1.0,test,0.8959349593495934,0.8959349593495934,0.8959349593495934
2.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
2.0,test,0.9089430894308943,0.9089430894308943,0.9089430894308943
3.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
3.0,test,0.9235772357723577,0.9235772357723577,0.9235772357723577
4.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
4.0,test,0.9284552845528455,0.9284552845528455,0.9284552845528455
5.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
5.0,test,0.9219512195121952,0.9219512195121952,0.9219512195121952
6.0,validation,0.9060773480662984,0.9060773480662984,0.9060773480662984
6.0,test,0.9284552845528455,0.9284552845528455,0.9284552845528455
7.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
7.0,test,0.9349593495934959,0.9349593495934959,0.9349593495934959
8.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
8.0,test,0.9333333333333333,0.9333333333333333,0.9333333333333333
9.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
9.0,test,0.9317073170731708,0.9317073170731708,0.9317073170731708
10.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
10.0,test,0.9382113821138212,0.9382113821138212,0.9382113821138212
11.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
11.0,test,0.9398373983739837,0.9398373983739837,0.9398373983739837
12.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
12.0,test,0.9414634146341463,0.9414634146341463,0.9414634146341464
13.0,validation,0.9281767955801105,0.9281767955801105,0.9281767955801105
13.0,test,0.9398373983739837,0.9398373983739837,0.9398373983739837
14.0,validation,0.9447513812154696,0.9447513812154696,0.9447513812154696
14.0,test,0.9365853658536586,0.9365853658536586,0.9365853658536586
15.0,validation,0.9392265193370166,0.9392265193370166,0.9392265193370166
15.0,test,0.9398373983739837,0.9398373983739837,0.9398373983739837
16.0,validation,0.9337016574585635,0.9337016574585635,0.9337016574585635
16.0,test,0.9349593495934959,0.9349593495934959,0.9349593495934959
17.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
17.0,test,0.9382113821138212,0.9382113821138212,0.9382113821138212
18.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
18.0,test,0.9382113821138212,0.9382113821138212,0.9382113821138212
19.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
19.0,test,0.9382113821138212,0.9382113821138212,0.9382113821138212
20.0,validation,0.9226519337016574,0.9226519337016574,0.9226519337016574
20.0,test,0.9382113821138212,0.9382113821138212,0.9382113821138212
