epoch,sample_set,precision,recall,f1
1.0,validation,0.2316831683168317,0.3103448275862069,0.2653061224489796
1.0,test,0.2660332541567696,0.32558139534883723,0.2928104575163399
2.0,validation,0.24242424242424243,0.29708222811671087,0.26698450536352797
2.0,test,0.2842724978973928,0.32751937984496127,0.3043674020711391
3.0,validation,0.27970297029702973,0.29973474801061006,0.2893725992317542
3.0,test,0.2996219281663516,0.3071705426356589,0.3033492822966507
4.0,validation,0.25,0.32625994694960214,0.28308400460299193
4.0,test,0.2950687146321746,0.3536821705426357,0.32172763331864257
5.0,validation,0.24553571428571427,0.2917771883289125,0.2666666666666667
5.0,test,0.3077593722755013,0.34205426356589147,0.32400183570445157
6.0,validation,0.24145299145299146,0.29973474801061006,0.26745562130177514
6.0,test,0.29208754208754206,0.33624031007751937,0.31261261261261253
7.0,validation,0.24731182795698925,0.3050397877984085,0.27315914489311166
7.0,test,0.28487886382623223,0.33042635658914726,0.30596680125616865
8.0,validation,0.26681614349775784,0.3156498673740053,0.2891859052247874
8.0,test,0.29581151832460734,0.32848837209302323,0.31129476584022037
9.0,validation,0.23417721518987342,0.29442970822281167,0.2608695652173913
9.0,test,0.3014950166112957,0.35174418604651164,0.32468694096601075
10.0,validation,0.2538293216630197,0.3076923076923077,0.2781774580335732
10.0,test,0.28667225481978204,0.3313953488372093,0.30741573033707864
11.0,validation,0.2572062084257206,0.3076923076923077,0.2801932367149758
11.0,test,0.29441624365482233,0.3372093023255814,0.31436314363143636
12.0,validation,0.25379609544468545,0.3103448275862069,0.279236276849642
12.0,test,0.29121338912133893,0.3372093023255814,0.31252806466097893
13.0,validation,0.25263157894736843,0.3183023872679045,0.2816901408450704
13.0,test,0.2827529021558872,0.33042635658914726,0.30473637176050045
14.0,validation,0.24329896907216494,0.3129973474801061,0.2737819025522042
14.0,test,0.29306122448979594,0.3478682170542636,0.3181214000886132
15.0,validation,0.25646551724137934,0.3156498673740053,0.28299643281807374
15.0,test,0.2942176870748299,0.33527131782945735,0.3134057971014493
16.0,validation,0.2603036876355748,0.3183023872679045,0.28639618138424816
16.0,test,0.29857022708158115,0.3439922480620155,0.3196758217019361
17.0,validation,0.24893617021276596,0.3103448275862069,0.2762691853600944
17.0,test,0.2969396195202647,0.3478682170542636,0.32039268183846503
18.0,validation,0.25427350427350426,0.3156498673740053,0.2816568047337278
18.0,test,0.29716193656093487,0.3449612403100775,0.3192825112107623
19.0,validation,0.2515991471215352,0.3129973474801061,0.2789598108747045
19.0,test,0.29308909242298087,0.34108527131782945,0.3152709359605911
20.0,validation,0.2515991471215352,0.3129973474801061,0.2789598108747045
20.0,test,0.295,0.3430232558139535,0.3172043010752688
