epoch,sample_set,precision,recall,f1
1.0,validation,0.33705357142857145,0.4005305039787798,0.3660606060606061
1.0,test,0.41601392515230634,0.4631782945736434,0.4383310408069693
2.0,validation,0.3401360544217687,0.3978779840848806,0.3667481662591687
2.0,test,0.43377777777777776,0.4728682170542636,0.4524802967083913
3.0,validation,0.3237250554323725,0.38726790450928383,0.3526570048309179
3.0,test,0.4511343804537522,0.500968992248062,0.47474747474747475
4.0,validation,0.31007751937984496,0.4244031830238727,0.3583426651735722
4.0,test,0.4195535026943803,0.5281007751937985,0.46761046761046765
5.0,validation,0.3325842696629214,0.3925729442970822,0.3600973236009733
5.0,test,0.45607808340727596,0.49806201550387597,0.476146364057434
6.0,validation,0.3282275711159737,0.3978779840848806,0.35971223021582727
6.0,test,0.44191919191919193,0.5087209302325582,0.47297297297297297
7.0,validation,0.3148148148148148,0.40583554376657827,0.35457705677867907
7.0,test,0.44137353433835846,0.5106589147286822,0.4734950584007188
8.0,validation,0.33480176211453744,0.40318302387267907,0.3658243080625752
8.0,test,0.44415807560137455,0.500968992248062,0.470856102003643
9.0,validation,0.3166332665330661,0.41909814323607425,0.3607305936073059
9.0,test,0.4220985691573927,0.5145348837209303,0.4637554585152839
10.0,validation,0.3318777292576419,0.40318302387267907,0.3640718562874251
10.0,test,0.44010195412064573,0.501937984496124,0.4689904934359439
11.0,validation,0.31742738589211617,0.40583554376657827,0.3562281722933644
11.0,test,0.42148087876322216,0.501937984496124,0.4582043343653251
12.0,validation,0.3215767634854772,0.41114058355437666,0.3608847497089639
12.0,test,0.421875,0.49709302325581395,0.45640569395017794
13.0,validation,0.3369098712446352,0.41644562334217505,0.3724792408066429
13.0,test,0.44358974358974357,0.502906976744186,0.4713896457765667
14.0,validation,0.31485148514851485,0.4217506631299735,0.36054421768707484
14.0,test,0.4180392156862745,0.5164728682170543,0.46207195491980935
15.0,validation,0.3231083844580777,0.41909814323607425,0.36489607390300227
15.0,test,0.41774193548387095,0.501937984496124,0.45598591549295775
16.0,validation,0.32916666666666666,0.41909814323607425,0.3687281213535589
16.0,test,0.42096642096642095,0.49806201550387597,0.45628051486906346
17.0,validation,0.3231083844580777,0.41909814323607425,0.36489607390300227
17.0,test,0.41903986981285596,0.499031007751938,0.45555064130915524
18.0,validation,0.32712215320910976,0.41909814323607425,0.3674418604651163
18.0,test,0.42096642096642095,0.49806201550387597,0.45628051486906346
19.0,validation,0.32987551867219916,0.4217506631299735,0.370197904540163
19.0,test,0.41927512355848434,0.4932170542635659,0.45325022261798753
20.0,validation,0.3305613305613306,0.4217506631299735,0.3706293706293707
20.0,test,0.41975308641975306,0.4941860465116279,0.4539385847797063
