epoch,sample_set,precision,recall,f1
1.0,validation,0.32494279176201374,0.376657824933687,0.3488943488943489
1.0,test,0.42067089755213055,0.4496124031007752,0.4346604215456674
2.0,validation,0.3215077605321508,0.38461538461538464,0.35024154589371986
2.0,test,0.4108867427568042,0.45348837209302323,0.43113772455089816
3.0,validation,0.3067484662576687,0.3978779840848806,0.3464203233256351
3.0,test,0.4030327214684757,0.4893410852713178,0.4420131291028446
4.0,validation,0.3008658008658009,0.3687002652519894,0.33134684147794996
4.0,test,0.41256366723259763,0.47093023255813954,0.4398190045248869
5.0,validation,0.29958677685950413,0.38461538461538464,0.33681765389082463
5.0,test,0.3832528180354267,0.46124031007751937,0.4186455584872471
6.0,validation,0.28964059196617337,0.363395225464191,0.3223529411764706
6.0,test,0.39115929941618016,0.45445736434108525,0.4204392649036307
7.0,validation,0.28781512605042014,0.363395225464191,0.32121922626025795
7.0,test,0.3726453726453726,0.44089147286821706,0.4039059032401243
8.0,validation,0.29006085192697767,0.3793103448275862,0.328735632183908
8.0,test,0.3813765182186235,0.4563953488372093,0.415527128363476
9.0,validation,0.29183673469387755,0.3793103448275862,0.32987312572087657
9.0,test,0.3850671140939597,0.44476744186046513,0.4127697841726618
10.0,validation,0.2703252032520325,0.35278514588859416,0.30609896432681244
10.0,test,0.35408245755860956,0.42441860465116277,0.38607315998237113
11.0,validation,0.28007889546351084,0.376657824933687,0.3212669683257918
11.0,test,0.3565285379202502,0.4418604651162791,0.39463435742102987
12.0,validation,0.29375,0.3740053050397878,0.32905484247374567
12.0,test,0.3795379537953795,0.44573643410852715,0.40998217468805703
13.0,validation,0.27348643006263046,0.34748010610079577,0.3060747663551402
13.0,test,0.36498761354252685,0.42829457364341084,0.39411502452073116
14.0,validation,0.2720156555772994,0.3687002652519894,0.3130630630630631
14.0,test,0.3590551181102362,0.4418604651162791,0.39617723718505643
15.0,validation,0.27234927234927236,0.34748010610079577,0.3053613053613054
15.0,test,0.36177194421657094,0.4273255813953488,0.3918258551754776
16.0,validation,0.2749003984063745,0.3660477453580902,0.31399317406143346
16.0,test,0.35481304693715193,0.4321705426356589,0.38968982088248144
17.0,validation,0.2729083665338645,0.363395225464191,0.31171786120591577
17.0,test,0.35583796664019063,0.43410852713178294,0.3910955914447839
18.0,validation,0.272,0.36074270557029176,0.31014823261117447
18.0,test,0.35873015873015873,0.437984496124031,0.3944153577661431
19.0,validation,0.2745490981963928,0.363395225464191,0.3127853881278539
19.0,test,0.3560666137985726,0.43507751937984496,0.3916266899258613
20.0,validation,0.2729083665338645,0.363395225464191,0.31171786120591577
20.0,test,0.35714285714285715,0.436046511627907,0.39267015706806285
