epoch,sample_set,precision,recall,f1
1.0,validation,0.8291457286432161,0.8291457286432161,0.8291457286432161
1.0,test,0.7774294670846394,0.7774294670846394,0.7774294670846394
2.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
2.0,test,0.799373040752351,0.799373040752351,0.799373040752351
3.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
3.0,test,0.8087774294670846,0.8087774294670846,0.8087774294670846
4.0,validation,0.8492462311557789,0.8492462311557789,0.8492462311557789
4.0,test,0.8166144200626959,0.8166144200626959,0.8166144200626959
5.0,validation,0.8442211055276382,0.8442211055276382,0.8442211055276382
5.0,test,0.8072100313479624,0.8072100313479624,0.8072100313479624
6.0,validation,0.8341708542713567,0.8341708542713567,0.8341708542713568
6.0,test,0.8119122257053292,0.8119122257053292,0.8119122257053292
7.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
7.0,test,0.8134796238244514,0.8134796238244514,0.8134796238244514
8.0,validation,0.8442211055276382,0.8442211055276382,0.8442211055276382
8.0,test,0.8181818181818182,0.8181818181818182,0.8181818181818182
9.0,validation,0.8592964824120602,0.8592964824120602,0.8592964824120604
9.0,test,0.835423197492163,0.835423197492163,0.835423197492163
10.0,validation,0.8592964824120602,0.8592964824120602,0.8592964824120604
10.0,test,0.8134796238244514,0.8134796238244514,0.8134796238244514
11.0,validation,0.8492462311557789,0.8492462311557789,0.8492462311557789
11.0,test,0.8213166144200627,0.8213166144200627,0.8213166144200627
12.0,validation,0.8442211055276382,0.8442211055276382,0.8442211055276382
12.0,test,0.8244514106583072,0.8244514106583072,0.8244514106583072
13.0,validation,0.8492462311557789,0.8492462311557789,0.8492462311557789
13.0,test,0.8166144200626959,0.8166144200626959,0.8166144200626959
14.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
14.0,test,0.8166144200626959,0.8166144200626959,0.8166144200626959
15.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
15.0,test,0.8244514106583072,0.8244514106583072,0.8244514106583072
16.0,validation,0.8592964824120602,0.8592964824120602,0.8592964824120604
16.0,test,0.8166144200626959,0.8166144200626959,0.8166144200626959
17.0,validation,0.8592964824120602,0.8592964824120602,0.8592964824120604
17.0,test,0.8181818181818182,0.8181818181818182,0.8181818181818182
18.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
18.0,test,0.8134796238244514,0.8134796238244514,0.8134796238244514
19.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
19.0,test,0.8119122257053292,0.8119122257053292,0.8119122257053292
20.0,validation,0.8542713567839196,0.8542713567839196,0.8542713567839196
20.0,test,0.8134796238244514,0.8134796238244514,0.8134796238244514
