epoch,sample_set,precision,recall,f1
1.0,validation,0.7889447236180904,0.7889447236180904,0.7889447236180903
1.0,test,0.719435736677116,0.719435736677116,0.7194357366771159
2.0,validation,0.7989949748743719,0.7989949748743719,0.7989949748743719
2.0,test,0.6880877742946708,0.6880877742946708,0.6880877742946708
3.0,validation,0.7788944723618091,0.7788944723618091,0.7788944723618091
3.0,test,0.7053291536050157,0.7053291536050157,0.7053291536050157
4.0,validation,0.7839195979899497,0.7839195979899497,0.7839195979899497
4.0,test,0.7413793103448276,0.7413793103448276,0.7413793103448276
5.0,validation,0.6733668341708543,0.6733668341708543,0.6733668341708543
5.0,test,0.6912225705329154,0.6912225705329154,0.6912225705329154
6.0,validation,0.7487437185929648,0.7487437185929648,0.7487437185929648
6.0,test,0.7366771159874608,0.7366771159874608,0.7366771159874608
7.0,validation,0.7085427135678392,0.7085427135678392,0.7085427135678392
7.0,test,0.7492163009404389,0.7492163009404389,0.7492163009404389
8.0,validation,0.7487437185929648,0.7487437185929648,0.7487437185929648
8.0,test,0.7382445141065831,0.7382445141065831,0.7382445141065831
9.0,validation,0.7286432160804021,0.7286432160804021,0.7286432160804021
9.0,test,0.7382445141065831,0.7382445141065831,0.7382445141065831
10.0,validation,0.7085427135678392,0.7085427135678392,0.7085427135678392
10.0,test,0.7304075235109718,0.7304075235109718,0.7304075235109717
11.0,validation,0.7185929648241206,0.7185929648241206,0.7185929648241205
11.0,test,0.7210031347962382,0.7210031347962382,0.7210031347962382
12.0,validation,0.7236180904522613,0.7236180904522613,0.7236180904522612
12.0,test,0.7476489028213166,0.7476489028213166,0.7476489028213166
13.0,validation,0.7236180904522613,0.7236180904522613,0.7236180904522612
13.0,test,0.7366771159874608,0.7366771159874608,0.7366771159874608
14.0,validation,0.6834170854271356,0.6834170854271356,0.6834170854271356
14.0,test,0.7398119122257053,0.7398119122257053,0.7398119122257053
15.0,validation,0.7185929648241206,0.7185929648241206,0.7185929648241205
15.0,test,0.7304075235109718,0.7304075235109718,0.7304075235109717
16.0,validation,0.7236180904522613,0.7236180904522613,0.7236180904522612
16.0,test,0.731974921630094,0.731974921630094,0.731974921630094
17.0,validation,0.7286432160804021,0.7286432160804021,0.7286432160804021
17.0,test,0.7304075235109718,0.7304075235109718,0.7304075235109717
18.0,validation,0.7286432160804021,0.7286432160804021,0.7286432160804021
18.0,test,0.7288401253918495,0.7288401253918495,0.7288401253918495
19.0,validation,0.7286432160804021,0.7286432160804021,0.7286432160804021
19.0,test,0.7304075235109718,0.7304075235109718,0.7304075235109717
20.0,validation,0.7286432160804021,0.7286432160804021,0.7286432160804021
20.0,test,0.7304075235109718,0.7304075235109718,0.7304075235109717
