epoch,sample_set,precision,recall,f1
1.0,validation,0.40253164556962023,0.32919254658385094,0.36218678815489747
1.0,test,0.4967741935483871,0.4049586776859504,0.4461920529801324
2.0,validation,0.35509138381201044,0.2815734989648033,0.3140877598152425
2.0,test,0.4847908745247148,0.38317054845980464,0.4280318925723877
3.0,validation,0.36,0.33540372670807456,0.3472668810289389
3.0,test,0.45410628019323673,0.4237415477084899,0.43839875631558495
4.0,validation,0.3255360623781676,0.34575569358178054,0.3353413654618474
4.0,test,0.4235463029432879,0.44327573253193087,0.43318649045521296
5.0,validation,0.3462414578587699,0.3146997929606625,0.32971800433839477
5.0,test,0.47512437810945274,0.43050338091660406,0.451714623571147
6.0,validation,0.3473451327433628,0.3250517598343685,0.3358288770053476
6.0,test,0.45241935483870965,0.4214876033057851,0.4364060676779463
7.0,validation,0.3431151241534989,0.3146997929606625,0.32829373650107996
7.0,test,0.43987086359967714,0.4094665664913599,0.42412451361867703
8.0,validation,0.31265508684863524,0.2608695652173913,0.2844243792325057
8.0,test,0.4252252252252252,0.3546205860255447,0.38672675133142154
9.0,validation,0.3232104121475054,0.3084886128364389,0.3156779661016949
9.0,test,0.4235294117647059,0.40570999248685197,0.41442824251726784
10.0,validation,0.3204868154158215,0.32712215320910976,0.32377049180327866
10.0,test,0.4059549745824256,0.41998497370398197,0.41285081240768096
11.0,validation,0.3076923076923077,0.2981366459627329,0.3028391167192429
11.0,test,0.40435458786936235,0.39068369646882045,0.39740160489109666
12.0,validation,0.3154639175257732,0.3167701863354037,0.3161157024793388
12.0,test,0.392083644510829,0.3944402704733283,0.39325842696629215
13.0,validation,0.3239130434782609,0.3084886128364389,0.31601272534464475
13.0,test,0.4125984251968504,0.39368895567242673,0.4029219530949634
14.0,validation,0.31856540084388185,0.31262939958592134,0.3155694879832811
14.0,test,0.40641711229946526,0.39969947407963935,0.403030303030303
15.0,validation,0.30616740088105726,0.28778467908902694,0.29669156883671294
15.0,test,0.401593625498008,0.3786626596543952,0.38979118329466356
16.0,validation,0.3068893528183716,0.30434782608695654,0.30561330561330563
16.0,test,0.3905899925317401,0.39293764087152516,0.39176029962546816
17.0,validation,0.2948717948717949,0.2857142857142857,0.2902208201892745
17.0,test,0.4001536098310292,0.391435011269722,0.3957462969996202
18.0,validation,0.29559748427672955,0.2919254658385093,0.29375
18.0,test,0.39172932330827065,0.391435011269722,0.3915821119879745
19.0,validation,0.301255230125523,0.2981366459627329,0.299687825182102
19.0,test,0.3950151057401813,0.39293764087152516,0.3939736346516008
20.0,validation,0.30105263157894735,0.29606625258799174,0.2985386221294364
20.0,test,0.3972602739726027,0.3921863260706236,0.39470699432892253
