epoch,sample_set,precision,recall,f1
1.0,validation,0.5891472868217055,0.4720496894409938,0.5241379310344827
1.0,test,0.7223769730733519,0.5845229151014275,0.6461794019933554
2.0,validation,0.5953002610966057,0.4720496894409938,0.5265588914549654
2.0,test,0.7089898053753475,0.574755822689707,0.6348547717842323
3.0,validation,0.589622641509434,0.5175983436853002,0.5512679162072768
3.0,test,0.6981292517006803,0.6168294515401953,0.6549660949341843
4.0,validation,0.5751295336787565,0.45962732919254656,0.5109321058688147
4.0,test,0.6962142197599261,0.5664913598797896,0.6246893123446562
5.0,validation,0.5697399527186762,0.4989648033126294,0.5320088300220751
5.0,test,0.6832350463352991,0.6093163035311796,0.6441620333598094
6.0,validation,0.5870646766169154,0.4886128364389234,0.5333333333333332
6.0,test,0.7004484304932735,0.5867768595041323,0.6385936222403924
7.0,validation,0.5686746987951807,0.4886128364389234,0.5256124721603562
7.0,test,0.692967409948542,0.6070623591284748,0.6471766119343212
8.0,validation,0.5672645739910314,0.5238095238095238,0.5446716899892359
8.0,test,0.676923076923077,0.628099173553719,0.6515978176149649
9.0,validation,0.5794621026894865,0.4906832298136646,0.531390134529148
9.0,test,0.7000871839581517,0.6033057851239669,0.6481033091202583
10.0,validation,0.59375,0.5113871635610766,0.5494994438264739
10.0,test,0.7047781569965871,0.6205860255447032,0.6600079904115062
11.0,validation,0.5653153153153153,0.5196687370600414,0.5415318230852211
11.0,test,0.6685483870967742,0.622839969947408,0.6448852586542202
12.0,validation,0.5846867749419954,0.5217391304347826,0.5514223194748359
12.0,test,0.6833333333333333,0.6160781367392938,0.6479652311339392
13.0,validation,0.5787037037037037,0.5175983436853002,0.5464480874316939
13.0,test,0.6878661087866109,0.6175807663410969,0.6508313539192399
14.0,validation,0.5837209302325581,0.5196687370600414,0.5498357064622126
14.0,test,0.68,0.6258452291510143,0.6517996870109546
15.0,validation,0.5688487584650113,0.5217391304347826,0.5442764578833692
15.0,test,0.6762820512820513,0.6341096919609316,0.6545172547499031
16.0,validation,0.5737327188940092,0.515527950310559,0.5430752453653217
16.0,test,0.6785418392709196,0.6153268219383922,0.6453900709219857
17.0,validation,0.5684931506849316,0.515527950310559,0.5407166123778502
17.0,test,0.6774716369529984,0.628099173553719,0.6518518518518519
18.0,validation,0.5694760820045558,0.5175983436853002,0.5422993492407808
18.0,test,0.6771844660194175,0.6288504883546205,0.6521231008959876
19.0,validation,0.5720823798627003,0.5175983436853002,0.5434782608695652
19.0,test,0.6816693944353519,0.6258452291510143,0.6525656090873482
20.0,validation,0.5720823798627003,0.5175983436853002,0.5434782608695652
20.0,test,0.6811120196238757,0.6258452291510143,0.6523101018010963
