epoch,sample_set,precision,recall,f1
1.0,validation,0.7429378531073446,0.7429378531073446,0.7429378531073445
1.0,test,0.8223214285714285,0.8223214285714285,0.8223214285714286
2.0,validation,0.7740112994350282,0.7740112994350282,0.7740112994350282
2.0,test,0.8580357142857142,0.8580357142857142,0.8580357142857142
3.0,validation,0.7853107344632768,0.7853107344632768,0.7853107344632768
3.0,test,0.8544642857142857,0.8544642857142857,0.8544642857142857
4.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
4.0,test,0.85,0.85,0.85
5.0,validation,0.7824858757062146,0.7824858757062146,0.7824858757062146
5.0,test,0.85625,0.85625,0.85625
6.0,validation,0.8022598870056498,0.8022598870056498,0.8022598870056498
6.0,test,0.8589285714285714,0.8589285714285714,0.8589285714285715
7.0,validation,0.788135593220339,0.788135593220339,0.788135593220339
7.0,test,0.875,0.875,0.875
8.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
8.0,test,0.8651785714285715,0.8651785714285715,0.8651785714285715
9.0,validation,0.7909604519774012,0.7909604519774012,0.7909604519774012
9.0,test,0.875,0.875,0.875
10.0,validation,0.7909604519774012,0.7909604519774012,0.7909604519774012
10.0,test,0.8705357142857143,0.8705357142857143,0.8705357142857143
11.0,validation,0.7994350282485876,0.7994350282485876,0.7994350282485876
11.0,test,0.8785714285714286,0.8785714285714286,0.8785714285714286
12.0,validation,0.7937853107344632,0.7937853107344632,0.7937853107344632
12.0,test,0.8633928571428572,0.8633928571428572,0.8633928571428572
13.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
13.0,test,0.8669642857142857,0.8669642857142857,0.8669642857142857
14.0,validation,0.7768361581920904,0.7768361581920904,0.7768361581920904
14.0,test,0.8732142857142857,0.8732142857142857,0.8732142857142858
15.0,validation,0.7937853107344632,0.7937853107344632,0.7937853107344632
15.0,test,0.8741071428571429,0.8741071428571429,0.8741071428571429
16.0,validation,0.7994350282485876,0.7994350282485876,0.7994350282485876
16.0,test,0.875,0.875,0.875
17.0,validation,0.7909604519774012,0.7909604519774012,0.7909604519774012
17.0,test,0.8767857142857143,0.8767857142857143,0.8767857142857144
18.0,validation,0.7853107344632768,0.7853107344632768,0.7853107344632768
18.0,test,0.875,0.875,0.875
19.0,validation,0.788135593220339,0.788135593220339,0.788135593220339
19.0,test,0.8732142857142857,0.8732142857142857,0.8732142857142858
20.0,validation,0.7853107344632768,0.7853107344632768,0.7853107344632768
20.0,test,0.8741071428571429,0.8741071428571429,0.8741071428571429
