epoch,sample_set,precision,recall,f1
1.0,validation,0.6807909604519774,0.6807909604519774,0.6807909604519774
1.0,test,0.7535714285714286,0.7535714285714286,0.7535714285714286
2.0,validation,0.7033898305084746,0.7033898305084746,0.7033898305084746
2.0,test,0.7785714285714286,0.7785714285714286,0.7785714285714285
3.0,validation,0.7146892655367232,0.7146892655367232,0.7146892655367232
3.0,test,0.7696428571428572,0.7696428571428572,0.7696428571428572
4.0,validation,0.615819209039548,0.615819209039548,0.615819209039548
4.0,test,0.6991071428571428,0.6991071428571428,0.6991071428571428
5.0,validation,0.6977401129943502,0.6977401129943502,0.6977401129943502
5.0,test,0.775,0.775,0.775
6.0,validation,0.6949152542372882,0.6949152542372882,0.6949152542372882
6.0,test,0.7669642857142858,0.7669642857142858,0.7669642857142858
7.0,validation,0.6836158192090396,0.6836158192090396,0.6836158192090396
7.0,test,0.7660714285714286,0.7660714285714286,0.7660714285714286
8.0,validation,0.6977401129943502,0.6977401129943502,0.6977401129943502
8.0,test,0.7616071428571428,0.7616071428571428,0.7616071428571428
9.0,validation,0.6836158192090396,0.6836158192090396,0.6836158192090396
9.0,test,0.7651785714285714,0.7651785714285714,0.7651785714285715
10.0,validation,0.672316384180791,0.672316384180791,0.672316384180791
10.0,test,0.7616071428571428,0.7616071428571428,0.7616071428571428
11.0,validation,0.6666666666666666,0.6666666666666666,0.6666666666666666
11.0,test,0.7571428571428571,0.7571428571428571,0.7571428571428571
12.0,validation,0.6807909604519774,0.6807909604519774,0.6807909604519774
12.0,test,0.7678571428571429,0.7678571428571429,0.7678571428571429
13.0,validation,0.6807909604519774,0.6807909604519774,0.6807909604519774
13.0,test,0.7678571428571429,0.7678571428571429,0.7678571428571429
14.0,validation,0.6779661016949152,0.6779661016949152,0.6779661016949152
14.0,test,0.7669642857142858,0.7669642857142858,0.7669642857142858
15.0,validation,0.6751412429378532,0.6751412429378532,0.6751412429378532
15.0,test,0.7633928571428571,0.7633928571428571,0.7633928571428571
16.0,validation,0.6610169491525424,0.6610169491525424,0.6610169491525424
16.0,test,0.75625,0.75625,0.75625
17.0,validation,0.6638418079096046,0.6638418079096046,0.6638418079096046
17.0,test,0.7642857142857142,0.7642857142857142,0.7642857142857142
18.0,validation,0.672316384180791,0.672316384180791,0.672316384180791
18.0,test,0.7625,0.7625,0.7625
19.0,validation,0.6694915254237288,0.6694915254237288,0.6694915254237288
19.0,test,0.7616071428571428,0.7616071428571428,0.7616071428571428
20.0,validation,0.6694915254237288,0.6694915254237288,0.6694915254237288
20.0,test,0.7625,0.7625,0.7625
