epoch,sample_set,precision,recall,f1
1.0,validation,0.9291338582677166,0.9291338582677166,0.9291338582677164
1.0,test,0.8357933579335793,0.8357933579335793,0.8357933579335792
2.0,validation,0.9212598425196851,0.9212598425196851,0.9212598425196851
2.0,test,0.8819188191881919,0.8819188191881919,0.8819188191881918
3.0,validation,0.9448818897637795,0.9448818897637795,0.9448818897637795
3.0,test,0.8948339483394834,0.8948339483394834,0.8948339483394835
4.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
4.0,test,0.8708487084870848,0.8708487084870848,0.8708487084870848
5.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
5.0,test,0.8782287822878229,0.8782287822878229,0.8782287822878229
6.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
6.0,test,0.8800738007380073,0.8800738007380073,0.8800738007380073
7.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
7.0,test,0.8763837638376384,0.8763837638376384,0.8763837638376384
8.0,validation,0.9448818897637795,0.9448818897637795,0.9448818897637795
8.0,test,0.8782287822878229,0.8782287822878229,0.8782287822878229
9.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
9.0,test,0.8745387453874539,0.8745387453874539,0.8745387453874539
10.0,validation,0.9606299212598425,0.9606299212598425,0.9606299212598425
10.0,test,0.8874538745387454,0.8874538745387454,0.8874538745387455
11.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
11.0,test,0.8726937269372693,0.8726937269372693,0.8726937269372693
12.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
12.0,test,0.8745387453874539,0.8745387453874539,0.8745387453874539
13.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
13.0,test,0.8800738007380073,0.8800738007380073,0.8800738007380073
14.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
14.0,test,0.8892988929889298,0.8892988929889298,0.8892988929889298
15.0,validation,0.9606299212598425,0.9606299212598425,0.9606299212598425
15.0,test,0.8856088560885609,0.8856088560885609,0.8856088560885609
16.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
16.0,test,0.8763837638376384,0.8763837638376384,0.8763837638376384
17.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
17.0,test,0.8892988929889298,0.8892988929889298,0.8892988929889298
18.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
18.0,test,0.8874538745387454,0.8874538745387454,0.8874538745387455
19.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
19.0,test,0.8892988929889298,0.8892988929889298,0.8892988929889298
20.0,validation,0.952755905511811,0.952755905511811,0.952755905511811
20.0,test,0.8892988929889298,0.8892988929889298,0.8892988929889298
