epoch,sample_set,precision,recall,f1
1.0,validation,0.547244094488189,0.5285171102661597,0.5377176015473888
1.0,test,0.5218417945690673,0.5063001145475372,0.5139534883720931
2.0,validation,0.501779359430605,0.5361216730038023,0.5183823529411765
2.0,test,0.512396694214876,0.56815578465063,0.5388375882672461
3.0,validation,0.5,0.5171102661596958,0.508411214953271
3.0,test,0.4966216216216216,0.5051546391752577,0.5008517887563885
4.0,validation,0.5150375939849624,0.5209125475285171,0.5179584120982986
4.0,test,0.49504950495049505,0.5154639175257731,0.5050505050505051
5.0,validation,0.49642857142857144,0.5285171102661597,0.5119705340699816
5.0,test,0.5026014568158168,0.5532646048109966,0.5267175572519084
6.0,validation,0.4981949458483754,0.5247148288973384,0.5111111111111112
6.0,test,0.5005086469989827,0.563573883161512,0.5301724137931035
7.0,validation,0.4982078853046595,0.5285171102661597,0.5129151291512914
7.0,test,0.4967811158798283,0.5303550973654066,0.5130193905817174
8.0,validation,0.5147058823529411,0.532319391634981,0.5233644859813084
8.0,test,0.5047021943573667,0.5532646048109966,0.5278688524590164
9.0,validation,0.5265151515151515,0.5285171102661597,0.5275142314990513
9.0,test,0.5016722408026756,0.5154639175257731,0.5084745762711863
10.0,validation,0.5372549019607843,0.5209125475285171,0.528957528957529
10.0,test,0.4983127109111361,0.5074455899198167,0.5028376844494892
11.0,validation,0.5033783783783784,0.5665399239543726,0.5330948121645797
11.0,test,0.4953173777315297,0.54524627720504,0.5190839694656488
12.0,validation,0.5144927536231884,0.5399239543726235,0.5269016697588126
12.0,test,0.4968220338983051,0.5372279495990836,0.5162355531095213
13.0,validation,0.5069444444444444,0.5551330798479087,0.5299455535390201
13.0,test,0.4897119341563786,0.54524627720504,0.5159891598915989
14.0,validation,0.5177304964539007,0.5551330798479087,0.5357798165137615
14.0,test,0.4967948717948718,0.5326460481099656,0.5140961857379769
15.0,validation,0.512280701754386,0.5551330798479087,0.5328467153284672
15.0,test,0.5082644628099173,0.563573883161512,0.534492123845736
16.0,validation,0.5102739726027398,0.5665399239543726,0.5369369369369369
16.0,test,0.49797979797979797,0.5647193585337915,0.5292538915727321
17.0,validation,0.5054151624548736,0.532319391634981,0.5185185185185185
17.0,test,0.5016146393972013,0.5337915234822451,0.5172031076581576
18.0,validation,0.506993006993007,0.5513307984790875,0.5282331511839709
18.0,test,0.4963273871983211,0.5418098510882016,0.5180722891566265
19.0,validation,0.5052264808362369,0.5513307984790875,0.5272727272727273
19.0,test,0.4968684759916493,0.54524627720504,0.5199344620425997
20.0,validation,0.506993006993007,0.5513307984790875,0.5282331511839709
20.0,test,0.49738766980146293,0.54524627720504,0.5202185792349727
